Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,cashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,totalLiabilities,totalShareholderEquity,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-08-21,111.83,-6.77,-5.7083%,118.09,111.51,118.09,"4,885,215","556,407,337.4231",2020-06-30,7401000000,7486000000,7401000000,-85000000,-40000000,-85000000,1121000000,-85000000,7486000000,85000000,-45000000,51000000,-40000000,-40000000,224000000,229000000,-1898000000,-2122000000,308000000,74000000,1664000000,-171000000,1361000000,-216000000,34000000,-170000000,455000000,0,-170000000,74000000,113337000000,319000000,86394000000,26943000000,23606000000,37069000000,10118000000,3925000000,5002000000,623000000,69034000000,1882000000,962000000,18120000000,81197000000,22699000000,76141000000,17497000000,7049000000,4903000000,23606000000,37069000000,-35614000000,7409000000,2367000000,78936000000,86394000000,113337000000,623000000,253200000
2020-08-14,118.6,1.24,+1.0566%,118.0,116.97,123.3,"5,372,908","642,423,159.9682",2020-06-30,7401000000,7486000000,7401000000,-85000000,-40000000,-85000000,1121000000,-85000000,7486000000,85000000,-45000000,51000000,-40000000,-40000000,224000000,229000000,-1898000000,-2122000000,308000000,74000000,1664000000,-171000000,1361000000,-216000000,34000000,-170000000,455000000,0,-170000000,74000000,113337000000,319000000,86394000000,26943000000,23606000000,37069000000,10118000000,3925000000,5002000000,623000000,69034000000,1882000000,962000000,18120000000,81197000000,22699000000,76141000000,17497000000,7049000000,4903000000,23606000000,37069000000,-35614000000,7409000000,2367000000,78936000000,86394000000,113337000000,623000000,253200000
2020-08-07,117.36,2.94,+2.5695%,114.36,112.3,117.59,"7,398,325","847,937,532.5827",2020-06-30,7401000000,7486000000,7401000000,-85000000,-40000000,-85000000,1121000000,-85000000,7486000000,85000000,-45000000,51000000,-40000000,-40000000,224000000,229000000,-1898000000,-2122000000,308000000,74000000,1664000000,-171000000,1361000000,-216000000,34000000,-170000000,455000000,0,-170000000,74000000,113337000000,319000000,86394000000,26943000000,23606000000,37069000000,10118000000,3925000000,5002000000,623000000,69034000000,1882000000,962000000,18120000000,81197000000,22699000000,76141000000,17497000000,7049000000,4903000000,23606000000,37069000000,-35614000000,7409000000,2367000000,78936000000,86394000000,113337000000,623000000,253200000
2020-07-31,114.42,-3.86,-3.2634%,117.59,112.58,117.84,"6,143,947","709,419,842.1698",2020-06-30,7401000000,7486000000,7401000000,-85000000,-40000000,-85000000,1121000000,-85000000,7486000000,85000000,-45000000,51000000,-40000000,-40000000,224000000,229000000,-1898000000,-2122000000,308000000,74000000,1664000000,-171000000,1361000000,-216000000,34000000,-170000000,455000000,0,-170000000,74000000,113337000000,319000000,86394000000,26943000000,23606000000,37069000000,10118000000,3925000000,5002000000,623000000,69034000000,1882000000,962000000,18120000000,81197000000,22699000000,76141000000,17497000000,7049000000,4903000000,23606000000,37069000000,-35614000000,7409000000,2367000000,78936000000,86394000000,113337000000,623000000,253200000
2020-07-24,118.28,-0.88,-0.7385%,118.89,117.501,122.555,"7,492,452","896,442,390.1032",2020-06-30,7401000000,7486000000,7401000000,-85000000,-40000000,-85000000,1121000000,-85000000,7486000000,85000000,-45000000,51000000,-40000000,-40000000,224000000,229000000,-1898000000,-2122000000,308000000,74000000,1664000000,-171000000,1361000000,-216000000,34000000,-170000000,455000000,0,-170000000,74000000,113337000000,319000000,86394000000,26943000000,23606000000,37069000000,10118000000,3925000000,5002000000,623000000,69034000000,1882000000,962000000,18120000000,81197000000,22699000000,76141000000,17497000000,7049000000,4903000000,23606000000,37069000000,-35614000000,7409000000,2367000000,78936000000,86394000000,113337000000,623000000,253200000
2020-07-17,119.16,5.32,+4.6732%,114.61,112.86,122.69,"7,686,592","909,598,642.5990",2020-06-30,7401000000,7486000000,7401000000,-85000000,-40000000,-85000000,1121000000,-85000000,7486000000,85000000,-45000000,51000000,-40000000,-40000000,224000000,229000000,-1898000000,-2122000000,308000000,74000000,1664000000,-171000000,1361000000,-216000000,34000000,-170000000,455000000,0,-170000000,74000000,113337000000,319000000,86394000000,26943000000,23606000000,37069000000,10118000000,3925000000,5002000000,623000000,69034000000,1882000000,962000000,18120000000,81197000000,22699000000,76141000000,17497000000,7049000000,4903000000,23606000000,37069000000,-35614000000,7409000000,2367000000,78936000000,86394000000,113337000000,623000000,253200000
2020-07-10,113.84,1.38,+1.2271%,115.26,109.09,116.38,"6,724,124","756,499,615.2959",2020-06-30,7401000000,7486000000,7401000000,-85000000,-40000000,-85000000,1121000000,-85000000,7486000000,85000000,-45000000,51000000,-40000000,-40000000,224000000,229000000,-1898000000,-2122000000,308000000,74000000,1664000000,-171000000,1361000000,-216000000,34000000,-170000000,455000000,0,-170000000,74000000,113337000000,319000000,86394000000,26943000000,23606000000,37069000000,10118000000,3925000000,5002000000,623000000,69034000000,1882000000,962000000,18120000000,81197000000,22699000000,76141000000,17497000000,7049000000,4903000000,23606000000,37069000000,-35614000000,7409000000,2367000000,78936000000,86394000000,113337000000,623000000,253200000
2020-07-03,112.46,1.46,+1.3153%,112.39,110.885,116.0,"4,596,890","520,414,612.8456",2020-06-30,7401000000,7486000000,7401000000,-85000000,-40000000,-85000000,1121000000,-85000000,7486000000,85000000,-45000000,51000000,-40000000,-40000000,224000000,229000000,-1898000000,-2122000000,308000000,74000000,1664000000,-171000000,1361000000,-216000000,34000000,-170000000,455000000,0,-170000000,74000000,113337000000,319000000,86394000000,26943000000,23606000000,37069000000,10118000000,3925000000,5002000000,623000000,69034000000,1882000000,962000000,18120000000,81197000000,22699000000,76141000000,17497000000,7049000000,4903000000,23606000000,37069000000,-35614000000,7409000000,2367000000,78936000000,86394000000,113337000000,623000000,253200000
2020-06-26,111.0,-5.56,-4.7701%,115.26,110.55,118.46,"10,444,460","1,189,112,615.8828",2020-03-31,7908000000,7188000000,7908000000,720000000,600000000,720000000,1137000000,720000000,7188000000,84000000,120000000,58000000,600000000,600000000,-836000000,414000000,84000000,920000000,-650000000,62000000,628000000,-827000000,1381000000,-210000000,-394000000,-341000000,-599000000,0,-341000000,62000000,109436000000,322000000,84232000000,25204000000,23542000000,37325000000,9768000000,3915000000,5118000000,544000000,67720000000,-49000000,966000000,17928000000,77217000000,20967000000,71930000000,17384000000,6559000000,5288000000,23542000000,37325000000,-35614000000,7747000000,2307000000,77673000000,84232000000,109436000000,544000000,252800000
2020-06-19,116.56,3.23,+2.8501%,109.5,108.16,119.45,"10,683,696","1,237,583,560.6954",2020-03-31,7908000000,7188000000,7908000000,720000000,600000000,720000000,1137000000,720000000,7188000000,84000000,120000000,58000000,600000000,600000000,-836000000,414000000,84000000,920000000,-650000000,62000000,628000000,-827000000,1381000000,-210000000,-394000000,-341000000,-599000000,0,-341000000,62000000,109436000000,322000000,84232000000,25204000000,23542000000,37325000000,9768000000,3915000000,5118000000,544000000,67720000000,-49000000,966000000,17928000000,77217000000,20967000000,71930000000,17384000000,6559000000,5288000000,23542000000,37325000000,-35614000000,7747000000,2307000000,77673000000,84232000000,109436000000,544000000,252800000
2020-06-12,113.33,-11.03,-8.8694%,125.0,110.37,128.13,"14,847,268","1,786,698,708.5128",2020-03-31,7908000000,7188000000,7908000000,720000000,600000000,720000000,1137000000,720000000,7188000000,84000000,120000000,58000000,600000000,600000000,-836000000,414000000,84000000,920000000,-650000000,62000000,628000000,-827000000,1381000000,-210000000,-394000000,-341000000,-599000000,0,-341000000,62000000,109436000000,322000000,84232000000,25204000000,23542000000,37325000000,9768000000,3915000000,5118000000,544000000,67720000000,-49000000,966000000,17928000000,77217000000,20967000000,71930000000,17384000000,6559000000,5288000000,23542000000,37325000000,-35614000000,7747000000,2307000000,77673000000,84232000000,109436000000,544000000,252800000
