Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,preferredStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-09-18,202.61,1.93,+0.961730%,203.35,201.72,208.21,"40,753,653","8,350,320,368.356700",2020-06-30,4837000000,1838000000,1113000000,4837000000,3074000000,2373000000,2932000000,1641000000,2999000000,197000000,142000000,559000000,74000000,2373000000,2373000000,-271000000,1477000000,-133000000,299000000,1164000000,-121000000,4033000000,3002000000,-1915000000,1710000000,-663000000,-1036000000,70000000,-37000000,161000000,-606000000,4033000000,77884000000,27188000000,4810000000,42360000000,35524000000,4728000000,5364000000,14072000000,7826000000,15791000000,6601000000,13898000000,16100000000,5724000000,-303000000,2746000000,25011000000,547000000,-12753000000,2739000000,3564000000,17880000000,5012000000,5298000000,14072000000,6601000000,52873000000,3652000000,26260000000,16457000000,77884000000,16637000000
2020-09-11,200.68,-3.98,-1.944689%,200.78,198.91,207.0,"36,401,792","7,352,087,762.797400",2020-06-30,4837000000,1838000000,1113000000,4837000000,3074000000,2373000000,2932000000,1641000000,2999000000,197000000,142000000,559000000,74000000,2373000000,2373000000,-271000000,1477000000,-133000000,299000000,1164000000,-121000000,4033000000,3002000000,-1915000000,1710000000,-663000000,-1036000000,70000000,-37000000,161000000,-606000000,4033000000,77884000000,27188000000,4810000000,42360000000,35524000000,4728000000,5364000000,14072000000,7826000000,15791000000,6601000000,13898000000,16100000000,5724000000,-303000000,2746000000,25011000000,547000000,-12753000000,2739000000,3564000000,17880000000,5012000000,5298000000,14072000000,6601000000,52873000000,3652000000,26260000000,16457000000,77884000000,16637000000
2020-09-04,204.66,-11.05,-5.122618%,215.54,200.15,217.35,"49,393,216","10,387,086,161.243100",2020-06-30,4837000000,1838000000,1113000000,4837000000,3074000000,2373000000,2932000000,1641000000,2999000000,197000000,142000000,559000000,74000000,2373000000,2373000000,-271000000,1477000000,-133000000,299000000,1164000000,-121000000,4033000000,3002000000,-1915000000,1710000000,-663000000,-1036000000,70000000,-37000000,161000000,-606000000,4033000000,77884000000,27188000000,4810000000,42360000000,35524000000,4728000000,5364000000,14072000000,7826000000,15791000000,6601000000,13898000000,16100000000,5724000000,-303000000,2746000000,25011000000,547000000,-12753000000,2739000000,3564000000,17880000000,5012000000,5298000000,14072000000,6601000000,52873000000,3652000000,26260000000,16457000000,77884000000,16637000000
2020-08-28,215.71,11.58,+5.672856%,205.01,204.67,216.16,"34,992,580","7,344,017,704.884000",2020-06-30,4837000000,1838000000,1113000000,4837000000,3074000000,2373000000,2932000000,1641000000,2999000000,197000000,142000000,559000000,74000000,2373000000,2373000000,-271000000,1477000000,-133000000,299000000,1164000000,-121000000,4033000000,3002000000,-1915000000,1710000000,-663000000,-1036000000,70000000,-37000000,161000000,-606000000,4033000000,77884000000,27188000000,4810000000,42360000000,35524000000,4728000000,5364000000,14072000000,7826000000,15791000000,6601000000,13898000000,16100000000,5724000000,-303000000,2746000000,25011000000,547000000,-12753000000,2739000000,3564000000,17880000000,5012000000,5298000000,14072000000,6601000000,52873000000,3652000000,26260000000,16457000000,77884000000,16637000000
2020-08-21,204.13,7.49,+3.808991%,197.3,196.71,205.14,"41,091,164","8,286,458,392.064400",2020-06-30,4837000000,1838000000,1113000000,4837000000,3074000000,2373000000,2932000000,1641000000,2999000000,197000000,142000000,559000000,74000000,2373000000,2373000000,-271000000,1477000000,-133000000,299000000,1164000000,-121000000,4033000000,3002000000,-1915000000,1710000000,-663000000,-1036000000,70000000,-37000000,161000000,-606000000,4033000000,77884000000,27188000000,4810000000,42360000000,35524000000,4728000000,5364000000,14072000000,7826000000,15791000000,6601000000,13898000000,16100000000,5724000000,-303000000,2746000000,25011000000,547000000,-12753000000,2739000000,3564000000,17880000000,5012000000,5298000000,14072000000,6601000000,52873000000,3652000000,26260000000,16457000000,77884000000,16637000000
2020-08-14,196.64,0.28,+0.142595%,196.36,195.33,202.89,"34,536,986","6,855,095,185.294700",2020-06-30,4837000000,1838000000,1113000000,4837000000,3074000000,2373000000,2932000000,1641000000,2999000000,197000000,142000000,559000000,74000000,2373000000,2373000000,-271000000,1477000000,-133000000,299000000,1164000000,-121000000,4033000000,3002000000,-1915000000,1710000000,-663000000,-1036000000,70000000,-37000000,161000000,-606000000,4033000000,77884000000,27188000000,4810000000,42360000000,35524000000,4728000000,5364000000,14072000000,7826000000,15791000000,6601000000,13898000000,16100000000,5724000000,-303000000,2746000000,25011000000,547000000,-12753000000,2739000000,3564000000,17880000000,5012000000,5298000000,14072000000,6601000000,52873000000,3652000000,26260000000,16457000000,77884000000,16637000000
2020-08-07,196.36,5.96,+3.130252%,191.8,190.08,198.92,"41,653,508","8,084,609,949.794400",2020-06-30,4837000000,1838000000,1113000000,4837000000,3074000000,2373000000,2932000000,1641000000,2999000000,197000000,142000000,559000000,74000000,2373000000,2373000000,-271000000,1477000000,-133000000,299000000,1164000000,-121000000,4033000000,3002000000,-1915000000,1710000000,-663000000,-1036000000,70000000,-37000000,161000000,-606000000,4033000000,77884000000,27188000000,4810000000,42360000000,35524000000,4728000000,5364000000,14072000000,7826000000,15791000000,6601000000,13898000000,16100000000,5724000000,-303000000,2746000000,25011000000,547000000,-12753000000,2739000000,3564000000,17880000000,5012000000,5298000000,14072000000,6601000000,52873000000,3652000000,26260000000,16457000000,77884000000,16637000000
2020-07-31,190.4,-4.75,-2.434025%,195.16,189.44,199.365,"46,658,637","9,067,475,744.993900",2020-06-30,4837000000,1838000000,1113000000,4837000000,3074000000,2373000000,2932000000,1641000000,2999000000,197000000,142000000,559000000,74000000,2373000000,2373000000,-271000000,1477000000,-133000000,299000000,1164000000,-121000000,4033000000,3002000000,-1915000000,1710000000,-663000000,-1036000000,70000000,-37000000,161000000,-606000000,4033000000,77884000000,27188000000,4810000000,42360000000,35524000000,4728000000,5364000000,14072000000,7826000000,15791000000,6601000000,13898000000,16100000000,5724000000,-303000000,2746000000,25011000000,547000000,-12753000000,2739000000,3564000000,17880000000,5012000000,5298000000,14072000000,6601000000,52873000000,3652000000,26260000000,16457000000,77884000000,16637000000
2020-07-24,195.15,0.06,+0.030755%,194.74,193.6701,200.95,"34,295,100","6,771,721,307.439700",2020-06-30,4837000000,1838000000,1113000000,4837000000,3074000000,2373000000,2932000000,1641000000,2999000000,197000000,142000000,559000000,74000000,2373000000,2373000000,-271000000,1477000000,-133000000,299000000,1164000000,-121000000,4033000000,3002000000,-1915000000,1710000000,-663000000,-1036000000,70000000,-37000000,161000000,-606000000,4033000000,77884000000,27188000000,4810000000,42360000000,35524000000,4728000000,5364000000,14072000000,7826000000,15791000000,6601000000,13898000000,16100000000,5724000000,-303000000,2746000000,25011000000,547000000,-12753000000,2739000000,3564000000,17880000000,5012000000,5298000000,14072000000,6601000000,52873000000,3652000000,26260000000,16457000000,77884000000,16637000000
2020-07-17,195.09,2.54,+1.319138%,193.61,187.18,197.765,"35,733,962","6,913,068,248.444700",2020-06-30,4837000000,1838000000,1113000000,4837000000,3074000000,2373000000,2932000000,1641000000,2999000000,197000000,142000000,559000000,74000000,2373000000,2373000000,-271000000,1477000000,-133000000,299000000,1164000000,-121000000,4033000000,3002000000,-1915000000,1710000000,-663000000,-1036000000,70000000,-37000000,161000000,-606000000,4033000000,77884000000,27188000000,4810000000,42360000000,35524000000,4728000000,5364000000,14072000000,7826000000,15791000000,6601000000,13898000000,16100000000,5724000000,-303000000,2746000000,25011000000,547000000,-12753000000,2739000000,3564000000,17880000000,5012000000,5298000000,14072000000,6601000000,52873000000,3652000000,26260000000,16457000000,77884000000,16637000000
2020-07-10,192.55,-3.12,-1.594521%,198.73,189.44,199.18,"39,542,743","7,679,035,644.881700",2020-06-30,4837000000,1838000000,1113000000,4837000000,3074000000,2373000000,2932000000,1641000000,2999000000,197000000,142000000,559000000,74000000,2373000000,2373000000,-271000000,1477000000,-133000000,299000000,1164000000,-121000000,4033000000,3002000000,-1915000000,1710000000,-663000000,-1036000000,70000000,-37000000,161000000,-606000000,4033000000,77884000000,27188000000,4810000000,42360000000,35524000000,4728000000,5364000000,14072000000,7826000000,15791000000,6601000000,13898000000,16100000000,5724000000,-303000000,2746000000,25011000000,547000000,-12753000000,2739000000,3564000000,17880000000,5012000000,5298000000,14072000000,6601000000,52873000000,3652000000,26260000000,16457000000,77884000000,16637000000
2020-07-03,195.67,6.4,+3.381413%,189.91,187.3001,197.9164,"29,753,885","5,741,217,248.743900",2020-06-30,4837000000,1838000000,1113000000,4837000000,3074000000,2373000000,2932000000,1641000000,2999000000,197000000,142000000,559000000,74000000,2373000000,2373000000,-271000000,1477000000,-133000000,299000000,1164000000,-121000000,4033000000,3002000000,-1915000000,1710000000,-663000000,-1036000000,70000000,-37000000,161000000,-606000000,4033000000,77884000000,27188000000,4810000000,42360000000,35524000000,4728000000,5364000000,14072000000,7826000000,15791000000,6601000000,13898000000,16100000000,5724000000,-303000000,2746000000,25011000000,547000000,-12753000000,2739000000,3564000000,17880000000,5012000000,5298000000,14072000000,6601000000,52873000000,3652000000,26260000000,16457000000,77884000000,16637000000
