Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,totalNonCurrentAssets,totalLongTermDebt,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-07-10,97.99,-0.44,-0.447018%,99.62,95.72,100.03,"27,231,864","2,672,299,278.104500",2020-05-31,6313000000,3191000000,3960000000,2353000000,-754000000,-790000000,-804000000,3191000000,84000000,-838000000,50000000,-14000000,84000000,-790000000,-790000000,18000000,221000000,-270000000,1000000,5892000000,5801000000,-6000000,5530000000,-1000000,-145000000,208000000,-381000000,5000000,-1399000000,1714000000,190000000,289000000,1714000000,-45000000,5485000000,31342000000,274000000,1653000000,20374000000,8055000000,2684000000,445000000,3000000,-191000000,2684000000,223000000,2326000000,8348000000,8284000000,251000000,-56000000,4866000000,20556000000,10471000000,439000000,2749000000,9406000000,7367000000,7588000000,3000000,-191000000,2326000000,9406000000,12090000000,8299000000,31342000000,8787000000
2020-07-03,98.43,4.76,+5.081670%,93.7,93.7,99.66,"29,778,768","2,887,905,591.423800",2020-05-31,6313000000,3191000000,3960000000,2353000000,-754000000,-790000000,-804000000,3191000000,84000000,-838000000,50000000,-14000000,84000000,-790000000,-790000000,18000000,221000000,-270000000,1000000,5892000000,5801000000,-6000000,5530000000,-1000000,-145000000,208000000,-381000000,5000000,-1399000000,1714000000,190000000,289000000,1714000000,-45000000,5485000000,31342000000,274000000,1653000000,20374000000,8055000000,2684000000,445000000,3000000,-191000000,2684000000,223000000,2326000000,8348000000,8284000000,251000000,-56000000,4866000000,20556000000,10471000000,439000000,2749000000,9406000000,7367000000,7588000000,3000000,-191000000,2326000000,9406000000,12090000000,8299000000,31342000000,8787000000
2020-06-26,93.67,-2.11,-2.202965%,96.85,93.57,102.22,"58,478,663","5,732,521,779.256800",2020-05-31,6313000000,3191000000,3960000000,2353000000,-754000000,-790000000,-804000000,3191000000,84000000,-838000000,50000000,-14000000,84000000,-790000000,-790000000,18000000,221000000,-270000000,1000000,5892000000,5801000000,-6000000,5530000000,-1000000,-145000000,208000000,-381000000,5000000,-1399000000,1714000000,190000000,289000000,1714000000,-45000000,5485000000,31342000000,274000000,1653000000,20374000000,8055000000,2684000000,445000000,3000000,-191000000,2684000000,223000000,2326000000,8348000000,8284000000,251000000,-56000000,4866000000,20556000000,10471000000,439000000,2749000000,9406000000,7367000000,7588000000,3000000,-191000000,2326000000,9406000000,12090000000,8299000000,31342000000,8787000000
2020-06-19,95.78,-0.65,-0.674064%,93.9,93.44,101.34,"32,805,088","3,200,360,091.117500",2020-05-31,6313000000,3191000000,3960000000,2353000000,-754000000,-790000000,-804000000,3191000000,84000000,-838000000,50000000,-14000000,84000000,-790000000,-790000000,18000000,221000000,-270000000,1000000,5892000000,5801000000,-6000000,5530000000,-1000000,-145000000,208000000,-381000000,5000000,-1399000000,1714000000,190000000,289000000,1714000000,-45000000,5485000000,31342000000,274000000,1653000000,20374000000,8055000000,2684000000,445000000,3000000,-191000000,2684000000,223000000,2326000000,8348000000,8284000000,251000000,-56000000,4866000000,20556000000,10471000000,439000000,2749000000,9406000000,7367000000,7588000000,3000000,-191000000,2326000000,9406000000,12090000000,8299000000,31342000000,8787000000
2020-06-12,96.43,-6.28,-6.114302%,103.05,94.7401,104.3,"35,138,745","3,498,750,557.903600",2020-05-31,6313000000,3191000000,3960000000,2353000000,-754000000,-790000000,-804000000,3191000000,84000000,-838000000,50000000,-14000000,84000000,-790000000,-790000000,18000000,221000000,-270000000,1000000,5892000000,5801000000,-6000000,5530000000,-1000000,-145000000,208000000,-381000000,5000000,-1399000000,1714000000,190000000,289000000,1714000000,-45000000,5485000000,31342000000,274000000,1653000000,20374000000,8055000000,2684000000,445000000,3000000,-191000000,2684000000,223000000,2326000000,8348000000,8284000000,251000000,-56000000,4866000000,20556000000,10471000000,439000000,2749000000,9406000000,7367000000,7588000000,3000000,-191000000,2326000000,9406000000,12090000000,8299000000,31342000000,8787000000
2020-06-05,102.71,4.13,+4.189491%,98.4,97.89,104.69,"38,104,792","3,876,603,419.545000",2020-05-31,6313000000,3191000000,3960000000,2353000000,-754000000,-790000000,-804000000,3191000000,84000000,-838000000,50000000,-14000000,84000000,-790000000,-790000000,18000000,221000000,-270000000,1000000,5892000000,5801000000,-6000000,5530000000,-1000000,-145000000,208000000,-381000000,5000000,-1399000000,1714000000,190000000,289000000,1714000000,-45000000,5485000000,31342000000,274000000,1653000000,20374000000,8055000000,2684000000,445000000,3000000,-191000000,2684000000,223000000,2326000000,8348000000,8284000000,251000000,-56000000,4866000000,20556000000,10471000000,439000000,2749000000,9406000000,7367000000,7588000000,3000000,-191000000,2326000000,9406000000,12090000000,8299000000,31342000000,8787000000
2020-05-29,98.58,4.83,+5.152000%,95.98,95.28,100.69,"32,696,755","3,215,366,020.786000",2020-02-29,10104000000,3283000000,5631000000,4473000000,893000000,847000000,881000000,3283000000,-297000000,1190000000,12000000,34000000,-297000000,847000000,847000000,166000000,160000000,30000000,139000000,-291000000,-1442000000,-20000000,-232000000,1180000000,-44000000,151000000,-382000000,-749000000,153000000,93000000,-180000000,275000000,93000000,25000000,-207000000,26220000000,275000000,2282000000,14417000000,9045000000,2674000000,422000000,3000000,1128000000,2674000000,223000000,2288000000,2863000000,8280000000,13000000,-57000000,4783000000,15744000000,11305000000,319000000,4473000000,3463000000,5807000000,7845000000,3000000,1128000000,2288000000,3463000000,6137000000,7971000000,26220000000,3182000000
2020-05-22,93.75,6.76,+7.771008%,90.49,89.88,94.65,"32,934,582","3,052,392,221.579500",2020-02-29,10104000000,3283000000,5631000000,4473000000,893000000,847000000,881000000,3283000000,-297000000,1190000000,12000000,34000000,-297000000,847000000,847000000,166000000,160000000,30000000,139000000,-291000000,-1442000000,-20000000,-232000000,1180000000,-44000000,151000000,-382000000,-749000000,153000000,93000000,-180000000,275000000,93000000,25000000,-207000000,26220000000,275000000,2282000000,14417000000,9045000000,2674000000,422000000,3000000,1128000000,2674000000,223000000,2288000000,2863000000,8280000000,13000000,-57000000,4783000000,15744000000,11305000000,319000000,4473000000,3463000000,5807000000,7845000000,3000000,1128000000,2288000000,3463000000,6137000000,7971000000,26220000000,3182000000
2020-05-15,86.99,-3.47,-3.835950%,89.45,84.11,91.67,"33,896,719","2,961,312,002.222500",2020-02-29,10104000000,3283000000,5631000000,4473000000,893000000,847000000,881000000,3283000000,-297000000,1190000000,12000000,34000000,-297000000,847000000,847000000,166000000,160000000,30000000,139000000,-291000000,-1442000000,-20000000,-232000000,1180000000,-44000000,151000000,-382000000,-749000000,153000000,93000000,-180000000,275000000,93000000,25000000,-207000000,26220000000,275000000,2282000000,14417000000,9045000000,2674000000,422000000,3000000,1128000000,2674000000,223000000,2288000000,2863000000,8280000000,13000000,-57000000,4783000000,15744000000,11305000000,319000000,4473000000,3463000000,5807000000,7845000000,3000000,1128000000,2288000000,3463000000,6137000000,7971000000,26220000000,3182000000
2020-05-08,90.46,4.92,+5.751695%,84.68,84.31,90.64,"30,068,515","2,646,094,114.845900",2020-02-29,10104000000,3283000000,5631000000,4473000000,893000000,847000000,881000000,3283000000,-297000000,1190000000,12000000,34000000,-297000000,847000000,847000000,166000000,160000000,30000000,139000000,-291000000,-1442000000,-20000000,-232000000,1180000000,-44000000,151000000,-382000000,-749000000,153000000,93000000,-180000000,275000000,93000000,25000000,-207000000,26220000000,275000000,2282000000,14417000000,9045000000,2674000000,422000000,3000000,1128000000,2674000000,223000000,2288000000,2863000000,8280000000,13000000,-57000000,4783000000,15744000000,11305000000,319000000,4473000000,3463000000,5807000000,7845000000,3000000,1128000000,2288000000,3463000000,6137000000,7971000000,26220000000,3182000000
2020-05-01,85.54,-2.83,-3.202444%,88.38,84.81,91.39,"37,004,673","3,257,255,311.652700",2020-02-29,10104000000,3283000000,5631000000,4473000000,893000000,847000000,881000000,3283000000,-297000000,1190000000,12000000,34000000,-297000000,847000000,847000000,166000000,160000000,30000000,139000000,-291000000,-1442000000,-20000000,-232000000,1180000000,-44000000,151000000,-382000000,-749000000,153000000,93000000,-180000000,275000000,93000000,25000000,-207000000,26220000000,275000000,2282000000,14417000000,9045000000,2674000000,422000000,3000000,1128000000,2674000000,223000000,2288000000,2863000000,8280000000,13000000,-57000000,4783000000,15744000000,11305000000,319000000,4473000000,3463000000,5807000000,7845000000,3000000,1128000000,2288000000,3463000000,6137000000,7971000000,26220000000,3182000000
