Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-09-18,194.86,-6.06,-3.016126%,203.3,192.3848,203.8,"23,387,815","4,623,649,993.790600",2020-06-30,12351000000,-12004000000,3035000000,12351000000,24355000000,373000000,1291000000,1025000000,10414000000,24355000000,-1590000000,-944000000,918000000,373000000,197000000,176000000,4547000000,0,3907000000,425000000,5885000000,34850000000,29825000000,27110000000,-11647000000,-13696000000,499000000,-626000000,-234000000,1177000000,1065000000,27110000000,1141523000000,596000000,142806000000,1051494000000,90029000000,294434000000,9000000,106248000000,226192000000,4196000000,38000000000,132599000000,310994000000,16560000000,2862000000,26045000000,275405000000,117094000000,78826000000,106489000000,384934000000,199211000000,9000000,11203000000,106248000000,-85930000000,749024000000,866118000000,384934000000,355566000000,740500000000,55637000000,1141523000000,132599000000,343935256
2020-09-11,200.92,-10.02,-4.750166%,209.51,198.95,209.96,"14,142,787","2,864,250,758.050200",2020-06-30,12351000000,-12004000000,3035000000,12351000000,24355000000,373000000,1291000000,1025000000,10414000000,24355000000,-1590000000,-944000000,918000000,373000000,197000000,176000000,4547000000,0,3907000000,425000000,5885000000,34850000000,29825000000,27110000000,-11647000000,-13696000000,499000000,-626000000,-234000000,1177000000,1065000000,27110000000,1141523000000,596000000,142806000000,1051494000000,90029000000,294434000000,9000000,106248000000,226192000000,4196000000,38000000000,132599000000,310994000000,16560000000,2862000000,26045000000,275405000000,117094000000,78826000000,106489000000,384934000000,199211000000,9000000,11203000000,106248000000,-85930000000,749024000000,866118000000,384934000000,355566000000,740500000000,55637000000,1141523000000,132599000000,343935256
2020-09-04,210.94,3.23,+1.555053%,205.5,203.01,215.23,"16,272,571","3,383,784,278.485000",2020-06-30,12351000000,-12004000000,3035000000,12351000000,24355000000,373000000,1291000000,1025000000,10414000000,24355000000,-1590000000,-944000000,918000000,373000000,197000000,176000000,4547000000,0,3907000000,425000000,5885000000,34850000000,29825000000,27110000000,-11647000000,-13696000000,499000000,-626000000,-234000000,1177000000,1065000000,27110000000,1141523000000,596000000,142806000000,1051494000000,90029000000,294434000000,9000000,106248000000,226192000000,4196000000,38000000000,132599000000,310994000000,16560000000,2862000000,26045000000,275405000000,117094000000,78826000000,106489000000,384934000000,199211000000,9000000,11203000000,106248000000,-85930000000,749024000000,866118000000,384934000000,355566000000,740500000000,55637000000,1141523000000,132599000000,343935256
2020-08-28,207.71,5.28,+2.608309%,203.11,201.32,213.0,"15,678,391","3,255,883,796.214700",2020-06-30,12351000000,-12004000000,3035000000,12351000000,24355000000,373000000,1291000000,1025000000,10414000000,24355000000,-1590000000,-944000000,918000000,373000000,197000000,176000000,4547000000,0,3907000000,425000000,5885000000,34850000000,29825000000,27110000000,-11647000000,-13696000000,499000000,-626000000,-234000000,1177000000,1065000000,27110000000,1141523000000,596000000,142806000000,1051494000000,90029000000,294434000000,9000000,106248000000,226192000000,4196000000,38000000000,132599000000,310994000000,16560000000,2862000000,26045000000,275405000000,117094000000,78826000000,106489000000,384934000000,199211000000,9000000,11203000000,106248000000,-85930000000,749024000000,866118000000,384934000000,355566000000,740500000000,55637000000,1141523000000,132599000000,343935256
2020-08-21,202.43,-5.54,-2.663846%,207.0,199.82,207.85,"12,994,321","2,635,704,727.353100",2020-06-30,12351000000,-12004000000,3035000000,12351000000,24355000000,373000000,1291000000,1025000000,10414000000,24355000000,-1590000000,-944000000,918000000,373000000,197000000,176000000,4547000000,0,3907000000,425000000,5885000000,34850000000,29825000000,27110000000,-11647000000,-13696000000,499000000,-626000000,-234000000,1177000000,1065000000,27110000000,1141523000000,596000000,142806000000,1051494000000,90029000000,294434000000,9000000,106248000000,226192000000,4196000000,38000000000,132599000000,310994000000,16560000000,2862000000,26045000000,275405000000,117094000000,78826000000,106489000000,384934000000,199211000000,9000000,11203000000,106248000000,-85930000000,749024000000,866118000000,384934000000,355566000000,740500000000,55637000000,1141523000000,132599000000,343935256
2020-08-14,207.97,-0.3,-0.144044%,209.59,206.61,216.95,"13,422,536","2,831,887,072.755500",2020-06-30,12351000000,-12004000000,3035000000,12351000000,24355000000,373000000,1291000000,1025000000,10414000000,24355000000,-1590000000,-944000000,918000000,373000000,197000000,176000000,4547000000,0,3907000000,425000000,5885000000,34850000000,29825000000,27110000000,-11647000000,-13696000000,499000000,-626000000,-234000000,1177000000,1065000000,27110000000,1141523000000,596000000,142806000000,1051494000000,90029000000,294434000000,9000000,106248000000,226192000000,4196000000,38000000000,132599000000,310994000000,16560000000,2862000000,26045000000,275405000000,117094000000,78826000000,106489000000,384934000000,199211000000,9000000,11203000000,106248000000,-85930000000,749024000000,866118000000,384934000000,355566000000,740500000000,55637000000,1141523000000,132599000000,343935256
2020-08-07,208.27,10.31,+5.208123%,198.49,196.53,208.8,"11,520,850","2,337,341,997.663200",2020-06-30,12351000000,-12004000000,3035000000,12351000000,24355000000,373000000,1291000000,1025000000,10414000000,24355000000,-1590000000,-944000000,918000000,373000000,197000000,176000000,4547000000,0,3907000000,425000000,5885000000,34850000000,29825000000,27110000000,-11647000000,-13696000000,499000000,-626000000,-234000000,1177000000,1065000000,27110000000,1141523000000,596000000,142806000000,1051494000000,90029000000,294434000000,9000000,106248000000,226192000000,4196000000,38000000000,132599000000,310994000000,16560000000,2862000000,26045000000,275405000000,117094000000,78826000000,106489000000,384934000000,199211000000,9000000,11203000000,106248000000,-85930000000,749024000000,866118000000,384934000000,355566000000,740500000000,55637000000,1141523000000,132599000000,343935256
2020-07-31,197.96,-3.51,-1.742195%,200.1,196.3,204.18,"12,834,910","2,573,341,658.150100",2020-06-30,12351000000,-12004000000,3035000000,12351000000,24355000000,373000000,1291000000,1025000000,10414000000,24355000000,-1590000000,-944000000,918000000,373000000,197000000,176000000,4547000000,0,3907000000,425000000,5885000000,34850000000,29825000000,27110000000,-11647000000,-13696000000,499000000,-626000000,-234000000,1177000000,1065000000,27110000000,1141523000000,596000000,142806000000,1051494000000,90029000000,294434000000,9000000,106248000000,226192000000,4196000000,38000000000,132599000000,310994000000,16560000000,2862000000,26045000000,275405000000,117094000000,78826000000,106489000000,384934000000,199211000000,9000000,11203000000,106248000000,-85930000000,749024000000,866118000000,384934000000,355566000000,740500000000,55637000000,1141523000000,132599000000,343935256
2020-07-24,201.47,-9.94,-4.701764%,210.73,201.32,213.81,"17,921,514","3,714,272,365.837200",2020-06-30,12351000000,-12004000000,3035000000,12351000000,24355000000,373000000,1291000000,1025000000,10414000000,24355000000,-1590000000,-944000000,918000000,373000000,197000000,176000000,4547000000,0,3907000000,425000000,5885000000,34850000000,29825000000,27110000000,-11647000000,-13696000000,499000000,-626000000,-234000000,1177000000,1065000000,27110000000,1141523000000,596000000,142806000000,1051494000000,90029000000,294434000000,9000000,106248000000,226192000000,4196000000,38000000000,132599000000,310994000000,16560000000,2862000000,26045000000,275405000000,117094000000,78826000000,106489000000,384934000000,199211000000,9000000,11203000000,106248000000,-85930000000,749024000000,866118000000,384934000000,355566000000,740500000000,55637000000,1141523000000,132599000000,343935256
2020-07-17,211.41,5.85,+2.845884%,209.0,207.0,225.2399,"31,555,906","6,784,194,894.685200",2020-06-30,12351000000,-12004000000,3035000000,12351000000,24355000000,373000000,1291000000,1025000000,10414000000,24355000000,-1590000000,-944000000,918000000,373000000,197000000,176000000,4547000000,0,3907000000,425000000,5885000000,34850000000,29825000000,27110000000,-11647000000,-13696000000,499000000,-626000000,-234000000,1177000000,1065000000,27110000000,1141523000000,596000000,142806000000,1051494000000,90029000000,294434000000,9000000,106248000000,226192000000,4196000000,38000000000,132599000000,310994000000,16560000000,2862000000,26045000000,275405000000,117094000000,78826000000,106489000000,384934000000,199211000000,9000000,11203000000,106248000000,-85930000000,749024000000,866118000000,384934000000,355566000000,740500000000,55637000000,1141523000000,132599000000,343935256
