Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,changeInCash,operatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,totalAssets,intangibleAssets,totalLiabilities,totalShareholderEquity,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,cashAndShortTermInvestments
2020-09-18,137.37,-0.77,-0.557406%,138.44,136.19,140.17,"29,705,516","4,098,526,205.404900",2020-06-30,17698000000,14217000000,8659000000,9039000000,4432000000,2800000000,3461000000,357000000,5314000000,3477000000,-114000000,675000000,115000000,2786000000,2730000000,-659000000,1185000000,3045000000,6118000000,-1588000000,-8367000000,11942000000,17403000000,3013000000,-7789000000,-5427000000,-104000000,499000000,264000000,3073000000,120700000000,23792000000,74179000000,46521000000,4009000000,100239000000,16657000000,39901000000,7478000000,16181000000,32976000000,-16164000000,21542000000,27987000000,-18069000000,4178000000,23537000000,5498000000,12071000000,-105573000000,8328000000,92713000000,23537000000,1149000000,40846000000,64194000000,16181000000
2020-09-11,138.14,0.18,+0.130473%,138.52,135.038,139.56,"22,491,199","3,089,574,998.387500",2020-06-30,17698000000,14217000000,8659000000,9039000000,4432000000,2800000000,3461000000,357000000,5314000000,3477000000,-114000000,675000000,115000000,2786000000,2730000000,-659000000,1185000000,3045000000,6118000000,-1588000000,-8367000000,11942000000,17403000000,3013000000,-7789000000,-5427000000,-104000000,499000000,264000000,3073000000,120700000000,23792000000,74179000000,46521000000,4009000000,100239000000,16657000000,39901000000,7478000000,16181000000,32976000000,-16164000000,21542000000,27987000000,-18069000000,4178000000,23537000000,5498000000,12071000000,-105573000000,8328000000,92713000000,23537000000,1149000000,40846000000,64194000000,16181000000
2020-09-04,137.96,-0.81,-0.583700%,138.19,136.12,141.7,"34,370,000","4,764,680,379.211200",2020-06-30,17698000000,14217000000,8659000000,9039000000,4432000000,2800000000,3461000000,357000000,5314000000,3477000000,-114000000,675000000,115000000,2786000000,2730000000,-659000000,1185000000,3045000000,6118000000,-1588000000,-8367000000,11942000000,17403000000,3013000000,-7789000000,-5427000000,-104000000,499000000,264000000,3073000000,120700000000,23792000000,74179000000,46521000000,4009000000,100239000000,16657000000,39901000000,7478000000,16181000000,32976000000,-16164000000,21542000000,27987000000,-18069000000,4178000000,23537000000,5498000000,12071000000,-105573000000,8328000000,92713000000,23537000000,1149000000,40846000000,64194000000,16181000000
2020-08-28,138.77,1.33,+0.967695%,137.49,136.95,139.69,"27,207,734","3,767,334,153.075100",2020-06-30,17698000000,14217000000,8659000000,9039000000,4432000000,2800000000,3461000000,357000000,5314000000,3477000000,-114000000,675000000,115000000,2786000000,2730000000,-659000000,1185000000,3045000000,6118000000,-1588000000,-8367000000,11942000000,17403000000,3013000000,-7789000000,-5427000000,-104000000,499000000,264000000,3073000000,120700000000,23792000000,74179000000,46521000000,4009000000,100239000000,16657000000,39901000000,7478000000,16181000000,32976000000,-16164000000,21542000000,27987000000,-18069000000,4178000000,23537000000,5498000000,12071000000,-105573000000,8328000000,92713000000,23537000000,1149000000,40846000000,64194000000,16181000000
2020-08-21,137.44,2.34,+1.732050%,134.94,134.66,138.101,"31,161,637","4,246,649,231.573000",2020-06-30,17698000000,14217000000,8659000000,9039000000,4432000000,2800000000,3461000000,357000000,5314000000,3477000000,-114000000,675000000,115000000,2786000000,2730000000,-659000000,1185000000,3045000000,6118000000,-1588000000,-8367000000,11942000000,17403000000,3013000000,-7789000000,-5427000000,-104000000,499000000,264000000,3073000000,120700000000,23792000000,74179000000,46521000000,4009000000,100239000000,16657000000,39901000000,7478000000,16181000000,32976000000,-16164000000,21542000000,27987000000,-18069000000,4178000000,23537000000,5498000000,12071000000,-105573000000,8328000000,92713000000,23537000000,1149000000,40846000000,64194000000,16181000000
2020-08-14,135.1,1.55,+1.160614%,133.7,132.795,135.97,"27,897,903","3,757,644,527.882000",2020-06-30,17698000000,14217000000,8659000000,9039000000,4432000000,2800000000,3461000000,357000000,5314000000,3477000000,-114000000,675000000,115000000,2786000000,2730000000,-659000000,1185000000,3045000000,6118000000,-1588000000,-8367000000,11942000000,17403000000,3013000000,-7789000000,-5427000000,-104000000,499000000,264000000,3073000000,120700000000,23792000000,74179000000,46521000000,4009000000,100239000000,16657000000,39901000000,7478000000,16181000000,32976000000,-16164000000,21542000000,27987000000,-18069000000,4178000000,23537000000,5498000000,12071000000,-105573000000,8328000000,92713000000,23537000000,1149000000,40846000000,64194000000,16181000000
2020-08-07,133.55,2.43,+1.853264%,130.47,130.47,134.65,"30,097,153","3,991,965,087.908500",2020-06-30,17698000000,14217000000,8659000000,9039000000,4432000000,2800000000,3461000000,357000000,5314000000,3477000000,-114000000,675000000,115000000,2786000000,2730000000,-659000000,1185000000,3045000000,6118000000,-1588000000,-8367000000,11942000000,17403000000,3013000000,-7789000000,-5427000000,-104000000,499000000,264000000,3073000000,120700000000,23792000000,74179000000,46521000000,4009000000,100239000000,16657000000,39901000000,7478000000,16181000000,32976000000,-16164000000,21542000000,27987000000,-18069000000,4178000000,23537000000,5498000000,12071000000,-105573000000,8328000000,92713000000,23537000000,1149000000,40846000000,64194000000,16181000000
2020-07-31,131.12,5.16,+4.096539%,125.71,125.54,132.03,"39,700,059","5,121,406,216.818200",2020-06-30,17698000000,14217000000,8659000000,9039000000,4432000000,2800000000,3461000000,357000000,5314000000,3477000000,-114000000,675000000,115000000,2786000000,2730000000,-659000000,1185000000,3045000000,6118000000,-1588000000,-8367000000,11942000000,17403000000,3013000000,-7789000000,-5427000000,-104000000,499000000,264000000,3073000000,120700000000,23792000000,74179000000,46521000000,4009000000,100239000000,16657000000,39901000000,7478000000,16181000000,32976000000,-16164000000,21542000000,27987000000,-18069000000,4178000000,23537000000,5498000000,12071000000,-105573000000,8328000000,92713000000,23537000000,1149000000,40846000000,64194000000,16181000000
2020-07-24,125.96,0.33,+0.262676%,125.47,124.21,127.77,"28,013,650","3,524,923,053.080500",2020-06-30,17698000000,14217000000,8659000000,9039000000,4432000000,2800000000,3461000000,357000000,5314000000,3477000000,-114000000,675000000,115000000,2786000000,2730000000,-659000000,1185000000,3045000000,6118000000,-1588000000,-8367000000,11942000000,17403000000,3013000000,-7789000000,-5427000000,-104000000,499000000,264000000,3073000000,120700000000,23792000000,74179000000,46521000000,4009000000,100239000000,16657000000,39901000000,7478000000,16181000000,32976000000,-16164000000,21542000000,27987000000,-18069000000,4178000000,23537000000,5498000000,12071000000,-105573000000,8328000000,92713000000,23537000000,1149000000,40846000000,64194000000,16181000000
2020-07-17,125.63,1.74,+1.404472%,124.0,123.34,126.9,"30,926,819","3,862,801,115.354200",2020-06-30,17698000000,14217000000,8659000000,9039000000,4432000000,2800000000,3461000000,357000000,5314000000,3477000000,-114000000,675000000,115000000,2786000000,2730000000,-659000000,1185000000,3045000000,6118000000,-1588000000,-8367000000,11942000000,17403000000,3013000000,-7789000000,-5427000000,-104000000,499000000,264000000,3073000000,120700000000,23792000000,74179000000,46521000000,4009000000,100239000000,16657000000,39901000000,7478000000,16181000000,32976000000,-16164000000,21542000000,27987000000,-18069000000,4178000000,23537000000,5498000000,12071000000,-105573000000,8328000000,92713000000,23537000000,1149000000,40846000000,64194000000,16181000000
2020-07-10,123.89,3.01,+2.490073%,121.77,120.88,124.5,"31,477,571","3,857,128,991.551600",2020-06-30,17698000000,14217000000,8659000000,9039000000,4432000000,2800000000,3461000000,357000000,5314000000,3477000000,-114000000,675000000,115000000,2786000000,2730000000,-659000000,1185000000,3045000000,6118000000,-1588000000,-8367000000,11942000000,17403000000,3013000000,-7789000000,-5427000000,-104000000,499000000,264000000,3073000000,120700000000,23792000000,74179000000,46521000000,4009000000,100239000000,16657000000,39901000000,7478000000,16181000000,32976000000,-16164000000,21542000000,27987000000,-18069000000,4178000000,23537000000,5498000000,12071000000,-105573000000,8328000000,92713000000,23537000000,1149000000,40846000000,64194000000,16181000000
2020-07-03,120.88,5.65,+4.903237%,116.51,116.35,122.57,"27,337,172","3,263,468,550.757100",2020-06-30,17698000000,14217000000,8659000000,9039000000,4432000000,2800000000,3461000000,357000000,5314000000,3477000000,-114000000,675000000,115000000,2786000000,2730000000,-659000000,1185000000,3045000000,6118000000,-1588000000,-8367000000,11942000000,17403000000,3013000000,-7789000000,-5427000000,-104000000,499000000,264000000,3073000000,120700000000,23792000000,74179000000,46521000000,4009000000,100239000000,16657000000,39901000000,7478000000,16181000000,32976000000,-16164000000,21542000000,27987000000,-18069000000,4178000000,23537000000,5498000000,12071000000,-105573000000,8328000000,92713000000,23537000000,1149000000,40846000000,64194000000,16181000000
2020-06-26,115.23,-3.69,-3.102926%,118.78,115.04,119.19,"46,275,069","5,396,696,634.267100",2020-03-31,17214000000,5045000000,8716000000,8498000000,3598000000,2917000000,3498000000,40000000,5045000000,3453000000,100000000,-541000000,106000000,4039000000,2917000000,-3000000,-220000000,-725000000,9000000,8051000000,5945000000,9284000000,4064000000,799000000,-1906000000,-200000000,0,392000000,139000000,731000000,118560000000,23834000000,72619000000,45540000000,4009000000,99474000000,15767800000,39617000000,6605000000,15393000000,32896000000,-16996000000,20459000000,27140000000,-18811000000,4640000000,23310000000,5330000000,20195000000,-105823000000,7510000000,91420000000,23310000000,10104000000,39723000000,63976000000,15393000000
2020-06-19,118.92,3.3,+2.854177%,114.55,113.76,121.82,"47,039,627","5,571,145,766.082600",2020-03-31,17214000000,5045000000,8716000000,8498000000,3598000000,2917000000,3498000000,40000000,5045000000,3453000000,100000000,-541000000,106000000,4039000000,2917000000,-3000000,-220000000,-725000000,9000000,8051000000,5945000000,9284000000,4064000000,799000000,-1906000000,-200000000,0,392000000,139000000,731000000,118560000000,23834000000,72619000000,45540000000,4009000000,99474000000,15767800000,39617000000,6605000000,15393000000,32896000000,-16996000000,20459000000,27140000000,-18811000000,4640000000,23310000000,5330000000,20195000000,-105823000000,7510000000,91420000000,23310000000,10104000000,39723000000,63976000000,15393000000
2020-06-12,115.62,-2.71,-2.290205%,117.44,115.26,119.89,"36,104,227","4,257,455,278.160400",2020-03-31,17214000000,5045000000,8716000000,8498000000,3598000000,2917000000,3498000000,40000000,5045000000,3453000000,100000000,-541000000,106000000,4039000000,2917000000,-3000000,-220000000,-725000000,9000000,8051000000,5945000000,9284000000,4064000000,799000000,-1906000000,-200000000,0,392000000,139000000,731000000,118560000000,23834000000,72619000000,45540000000,4009000000,99474000000,15767800000,39617000000,6605000000,15393000000,32896000000,-16996000000,20459000000,27140000000,-18811000000,4640000000,23310000000,5330000000,20195000000,-105823000000,7510000000,91420000000,23310000000,10104000000,39723000000,63976000000,15393000000
