Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2019-10-18,208.5,-0.52,-0.248780%,208.0,206.5217,210.02,"16,699,794","3,474,514,022.899700",2019-09-30,5430600000,494100000,2527200000,2903400000,2846200000,1607900000,2152200000,543600000,23500000,2409300000,0,280600000,544300000,64100000,1607900000,1607900000,-592800000,-3100000,706400000,-1577600000,-12700000,116300000,2286700000,413400000,-876900000,-1394400000,43900000,589700000,-73500000,42800000,45805000000,379700000,42522400000,-8599200000,2200600000,703300000,16600000,51359500000,5396700000,2541800000,2599400000,1177300000,4275600000,-2663100000,23325300000,3604900000,1245400000,740800000,2005300000,32850100000,42600000,3572300000,16600000,51359500000,-64931900000,42200100000,32850100000,3196100000,38246800000,7619700000,45805000000,1177300000
2019-10-11,209.02,-2.67,-1.261278%,211.1,208.67,213.47,"13,839,030","2,928,049,812.154300",2019-09-30,5430600000,494100000,2527200000,2903400000,2846200000,1607900000,2152200000,543600000,23500000,2409300000,0,280600000,544300000,64100000,1607900000,1607900000,-592800000,-3100000,706400000,-1577600000,-12700000,116300000,2286700000,413400000,-876900000,-1394400000,43900000,589700000,-73500000,42800000,45805000000,379700000,42522400000,-8599200000,2200600000,703300000,16600000,51359500000,5396700000,2541800000,2599400000,1177300000,4275600000,-2663100000,23325300000,3604900000,1245400000,740800000,2005300000,32850100000,42600000,3572300000,16600000,51359500000,-64931900000,42200100000,32850100000,3196100000,38246800000,7619700000,45805000000,1177300000
2019-10-04,211.69,-1.47,-0.689623%,213.16,205.5928,215.36,"17,448,061","3,658,033,935.733500",2019-09-30,5430600000,494100000,2527200000,2903400000,2846200000,1607900000,2152200000,543600000,23500000,2409300000,0,280600000,544300000,64100000,1607900000,1607900000,-592800000,-3100000,706400000,-1577600000,-12700000,116300000,2286700000,413400000,-876900000,-1394400000,43900000,589700000,-73500000,42800000,45805000000,379700000,42522400000,-8599200000,2200600000,703300000,16600000,51359500000,5396700000,2541800000,2599400000,1177300000,4275600000,-2663100000,23325300000,3604900000,1245400000,740800000,2005300000,32850100000,42600000,3572300000,16600000,51359500000,-64931900000,42200100000,32850100000,3196100000,38246800000,7619700000,45805000000,1177300000
2019-09-27,213.16,3.77,+1.800468%,209.06,209.06,215.67,"14,273,389","3,033,405,587.935100",2019-06-30,5341300000,555600000,2511800000,2829500000,2690300000,1516900000,2007800000,533100000,18100000,2273900000,0,284200000,490900000,-15100000,1516900000,1516900000,-900000000,82600000,-385600000,-2196100000,500000,-1170600000,1925500000,398300000,-883000000,-928000000,101800000,982600000,16000000,-1154600000,46199800000,681700000,41113200000,-6808800000,1997900000,743400000,16600000,51562500000,5218900000,2580500000,2449600000,1134500000,3240000000,-2496600000,23504200000,3915400000,1227300000,2506100000,2055000000,32654300000,44200000,2496600000,16600000,51562500000,-63440800000,42284400000,32654300000,3221000000,37873200000,7549500000,46199800000,1134500000
2019-09-20,209.39,-0.42,-0.200181%,209.3,207.33,211.83,"18,300,149","3,837,071,758.219400",2019-06-30,5341300000,555600000,2511800000,2829500000,2690300000,1516900000,2007800000,533100000,18100000,2273900000,0,284200000,490900000,-15100000,1516900000,1516900000,-900000000,82600000,-385600000,-2196100000,500000,-1170600000,1925500000,398300000,-883000000,-928000000,101800000,982600000,16000000,-1154600000,46199800000,681700000,41113200000,-6808800000,1997900000,743400000,16600000,51562500000,5218900000,2580500000,2449600000,1134500000,3240000000,-2496600000,23504200000,3915400000,1227300000,2506100000,2055000000,32654300000,44200000,2496600000,16600000,51562500000,-63440800000,42284400000,32654300000,3221000000,37873200000,7549500000,46199800000,1134500000
2019-09-13,209.81,-10.22,-4.644821%,220.5,208.28,220.5,"19,601,385","4,148,011,656.830600",2019-06-30,5341300000,555600000,2511800000,2829500000,2690300000,1516900000,2007800000,533100000,18100000,2273900000,0,284200000,490900000,-15100000,1516900000,1516900000,-900000000,82600000,-385600000,-2196100000,500000,-1170600000,1925500000,398300000,-883000000,-928000000,101800000,982600000,16000000,-1154600000,46199800000,681700000,41113200000,-6808800000,1997900000,743400000,16600000,51562500000,5218900000,2580500000,2449600000,1134500000,3240000000,-2496600000,23504200000,3915400000,1227300000,2506100000,2055000000,32654300000,44200000,2496600000,16600000,51562500000,-63440800000,42284400000,32654300000,3221000000,37873200000,7549500000,46199800000,1134500000
2019-09-06,220.03,2.06,+0.945084%,217.93,216.28,220.84,"10,178,770","2,225,071,640.513200",2019-06-30,5341300000,555600000,2511800000,2829500000,2690300000,1516900000,2007800000,533100000,18100000,2273900000,0,284200000,490900000,-15100000,1516900000,1516900000,-900000000,82600000,-385600000,-2196100000,500000,-1170600000,1925500000,398300000,-883000000,-928000000,101800000,982600000,16000000,-1154600000,46199800000,681700000,41113200000,-6808800000,1997900000,743400000,16600000,51562500000,5218900000,2580500000,2449600000,1134500000,3240000000,-2496600000,23504200000,3915400000,1227300000,2506100000,2055000000,32654300000,44200000,2496600000,16600000,51562500000,-63440800000,42284400000,32654300000,3221000000,37873200000,7549500000,46199800000,1134500000
2019-08-30,217.97,3.31,+1.541973%,216.08,214.21,221.015,"12,240,562","2,665,920,642.741600",2019-06-30,5341300000,555600000,2511800000,2829500000,2690300000,1516900000,2007800000,533100000,18100000,2273900000,0,284200000,490900000,-15100000,1516900000,1516900000,-900000000,82600000,-385600000,-2196100000,500000,-1170600000,1925500000,398300000,-883000000,-928000000,101800000,982600000,16000000,-1154600000,46199800000,681700000,41113200000,-6808800000,1997900000,743400000,16600000,51562500000,5218900000,2580500000,2449600000,1134500000,3240000000,-2496600000,23504200000,3915400000,1227300000,2506100000,2055000000,32654300000,44200000,2496600000,16600000,51562500000,-63440800000,42284400000,32654300000,3221000000,37873200000,7549500000,46199800000,1134500000
2019-08-23,214.66,-3.81,-1.743947%,219.99,213.89,220.89,"13,323,091","2,907,685,941.610800",2019-06-30,5341300000,555600000,2511800000,2829500000,2690300000,1516900000,2007800000,533100000,18100000,2273900000,0,284200000,490900000,-15100000,1516900000,1516900000,-900000000,82600000,-385600000,-2196100000,500000,-1170600000,1925500000,398300000,-883000000,-928000000,101800000,982600000,16000000,-1154600000,46199800000,681700000,41113200000,-6808800000,1997900000,743400000,16600000,51562500000,5218900000,2580500000,2449600000,1134500000,3240000000,-2496600000,23504200000,3915400000,1227300000,2506100000,2055000000,32654300000,44200000,2496600000,16600000,51562500000,-63440800000,42284400000,32654300000,3221000000,37873200000,7549500000,46199800000,1134500000
2019-08-16,218.47,-2.68,-1.211847%,220.44,215.665,220.6499,"13,745,556","2,997,730,444.596600",2019-06-30,5341300000,555600000,2511800000,2829500000,2690300000,1516900000,2007800000,533100000,18100000,2273900000,0,284200000,490900000,-15100000,1516900000,1516900000,-900000000,82600000,-385600000,-2196100000,500000,-1170600000,1925500000,398300000,-883000000,-928000000,101800000,982600000,16000000,-1154600000,46199800000,681700000,41113200000,-6808800000,1997900000,743400000,16600000,51562500000,5218900000,2580500000,2449600000,1134500000,3240000000,-2496600000,23504200000,3915400000,1227300000,2506100000,2055000000,32654300000,44200000,2496600000,16600000,51562500000,-63440800000,42284400000,32654300000,3221000000,37873200000,7549500000,46199800000,1134500000
2019-08-09,221.15,6.67,+3.109847%,213.64,209.425,221.93,"17,931,354","3,872,351,177.726200",2019-06-30,5341300000,555600000,2511800000,2829500000,2690300000,1516900000,2007800000,533100000,18100000,2273900000,0,284200000,490900000,-15100000,1516900000,1516900000,-900000000,82600000,-385600000,-2196100000,500000,-1170600000,1925500000,398300000,-883000000,-928000000,101800000,982600000,16000000,-1154600000,46199800000,681700000,41113200000,-6808800000,1997900000,743400000,16600000,51562500000,5218900000,2580500000,2449600000,1134500000,3240000000,-2496600000,23504200000,3915400000,1227300000,2506100000,2055000000,32654300000,44200000,2496600000,16600000,51562500000,-63440800000,42284400000,32654300000,3221000000,37873200000,7549500000,46199800000,1134500000
2019-08-02,214.48,-1.1,-0.510251%,216.0,209.37,217.42,"17,885,768","3,810,546,850.049000",2019-06-30,5341300000,555600000,2511800000,2829500000,2690300000,1516900000,2007800000,533100000,18100000,2273900000,0,284200000,490900000,-15100000,1516900000,1516900000,-900000000,82600000,-385600000,-2196100000,500000,-1170600000,1925500000,398300000,-883000000,-928000000,101800000,982600000,16000000,-1154600000,46199800000,681700000,41113200000,-6808800000,1997900000,743400000,16600000,51562500000,5218900000,2580500000,2449600000,1134500000,3240000000,-2496600000,23504200000,3915400000,1227300000,2506100000,2055000000,32654300000,44200000,2496600000,16600000,51562500000,-63440800000,42284400000,32654300000,3221000000,37873200000,7549500000,46199800000,1134500000
2019-07-26,215.58,1.71,+0.799551%,213.79,212.27,218.9599,"16,874,164","3,620,187,710.068700",2019-06-30,5341300000,555600000,2511800000,2829500000,2690300000,1516900000,2007800000,533100000,18100000,2273900000,0,284200000,490900000,-15100000,1516900000,1516900000,-900000000,82600000,-385600000,-2196100000,500000,-1170600000,1925500000,398300000,-883000000,-928000000,101800000,982600000,16000000,-1154600000,46199800000,681700000,41113200000,-6808800000,1997900000,743400000,16600000,51562500000,5218900000,2580500000,2449600000,1134500000,3240000000,-2496600000,23504200000,3915400000,1227300000,2506100000,2055000000,32654300000,44200000,2496600000,16600000,51562500000,-63440800000,42284400000,32654300000,3221000000,37873200000,7549500000,46199800000,1134500000
2019-07-19,213.87,0.88,+0.413165%,213.63,212.15,216.26,"11,610,353","2,486,332,992.274900",2019-06-30,5341300000,555600000,2511800000,2829500000,2690300000,1516900000,2007800000,533100000,18100000,2273900000,0,284200000,490900000,-15100000,1516900000,1516900000,-900000000,82600000,-385600000,-2196100000,500000,-1170600000,1925500000,398300000,-883000000,-928000000,101800000,982600000,16000000,-1154600000,46199800000,681700000,41113200000,-6808800000,1997900000,743400000,16600000,51562500000,5218900000,2580500000,2449600000,1134500000,3240000000,-2496600000,23504200000,3915400000,1227300000,2506100000,2055000000,32654300000,44200000,2496600000,16600000,51562500000,-63440800000,42284400000,32654300000,3221000000,37873200000,7549500000,46199800000,1134500000
2019-07-12,212.99,1.75,+0.828442%,211.24,211.23,214.8,"9,162,511","1,946,144,750.791800",2019-06-30,5341300000,555600000,2511800000,2829500000,2690300000,1516900000,2007800000,533100000,18100000,2273900000,0,284200000,490900000,-15100000,1516900000,1516900000,-900000000,82600000,-385600000,-2196100000,500000,-1170600000,1925500000,398300000,-883000000,-928000000,101800000,982600000,16000000,-1154600000,46199800000,681700000,41113200000,-6808800000,1997900000,743400000,16600000,51562500000,5218900000,2580500000,2449600000,1134500000,3240000000,-2496600000,23504200000,3915400000,1227300000,2506100000,2055000000,32654300000,44200000,2496600000,16600000,51562500000,-63440800000,42284400000,32654300000,3221000000,37873200000,7549500000,46199800000,1134500000
2019-07-05,211.24,3.58,+1.723972%,208.86,206.19,213.01,"9,995,327","2,092,572,817.034700",2019-06-30,5341300000,555600000,2511800000,2829500000,2690300000,1516900000,2007800000,533100000,18100000,2273900000,0,284200000,490900000,-15100000,1516900000,1516900000,-900000000,82600000,-385600000,-2196100000,500000,-1170600000,1925500000,398300000,-883000000,-928000000,101800000,982600000,16000000,-1154600000,46199800000,681700000,41113200000,-6808800000,1997900000,743400000,16600000,51562500000,5218900000,2580500000,2449600000,1134500000,3240000000,-2496600000,23504200000,3915400000,1227300000,2506100000,2055000000,32654300000,44200000,2496600000,16600000,51562500000,-63440800000,42284400000,32654300000,3221000000,37873200000,7549500000,46199800000,1134500000
2019-06-28,207.66,3.4,+1.664545%,204.75,203.63,207.99,"13,995,667","2,878,431,348.220000",2019-03-31,5024100000,457500000,2472600000,2551500000,2498000000,1328400000,1831300000,499100000,11400000,2094000000,0,274100000,502900000,58200000,1328400000,1328400000,-771300000,-247000000,2004300000,220700000,-11300000,1470000000,2020600000,392600000,-886800000,-885500000,137400000,524300000,-46900000,1423100000,46466600000,641800000,41388000000,-6550900000,1960800000,767900000,16600000,50928600000,5111700000,2317800000,2385500000,2289100000,3379600000,-2520100000,23283500000,4964400000,1190200000,2760800000,1992700000,32892000000,40800000,2611700000,16600000,50928600000,-62414500000,41502200000,32892000000,3155600000,38008400000,7438500000,46466600000,2289100000
2019-06-21,204.26,-1.03,-0.501729%,205.75,202.61,205.94,"13,923,480","2,847,067,195.929400",2019-03-31,5024100000,457500000,2472600000,2551500000,2498000000,1328400000,1831300000,499100000,11400000,2094000000,0,274100000,502900000,58200000,1328400000,1328400000,-771300000,-247000000,2004300000,220700000,-11300000,1470000000,2020600000,392600000,-886800000,-885500000,137400000,524300000,-46900000,1423100000,46466600000,641800000,41388000000,-6550900000,1960800000,767900000,16600000,50928600000,5111700000,2317800000,2385500000,2289100000,3379600000,-2520100000,23283500000,4964400000,1190200000,2760800000,1992700000,32892000000,40800000,2611700000,16600000,50928600000,-62414500000,41502200000,32892000000,3155600000,38008400000,7438500000,46466600000,2289100000
2019-06-14,205.29,-0.19,-0.092466%,206.1,199.74,206.1,"15,507,093","3,155,218,665.116400",2019-03-31,5024100000,457500000,2472600000,2551500000,2498000000,1328400000,1831300000,499100000,11400000,2094000000,0,274100000,502900000,58200000,1328400000,1328400000,-771300000,-247000000,2004300000,220700000,-11300000,1470000000,2020600000,392600000,-886800000,-885500000,137400000,524300000,-46900000,1423100000,46466600000,641800000,41388000000,-6550900000,1960800000,767900000,16600000,50928600000,5111700000,2317800000,2385500000,2289100000,3379600000,-2520100000,23283500000,4964400000,1190200000,2760800000,1992700000,32892000000,40800000,2611700000,16600000,50928600000,-62414500000,41502200000,32892000000,3155600000,38008400000,7438500000,46466600000,2289100000
2019-06-07,205.48,7.21,+3.636455%,198.36,197.32,206.39,"20,339,312","4,094,814,973.918800",2019-03-31,5024100000,457500000,2472600000,2551500000,2498000000,1328400000,1831300000,499100000,11400000,2094000000,0,274100000,502900000,58200000,1328400000,1328400000,-771300000,-247000000,2004300000,220700000,-11300000,1470000000,2020600000,392600000,-886800000,-885500000,137400000,524300000,-46900000,1423100000,46466600000,641800000,41388000000,-6550900000,1960800000,767900000,16600000,50928600000,5111700000,2317800000,2385500000,2289100000,3379600000,-2520100000,23283500000,4964400000,1190200000,2760800000,1992700000,32892000000,40800000,2611700000,16600000,50928600000,-62414500000,41502200000,32892000000,3155600000,38008400000,7438500000,46466600000,2289100000
2019-05-31,198.27,0.5,+0.252819%,198.28,194.85,200.03,"12,954,429","2,558,844,584.635800",2019-03-31,5024100000,457500000,2472600000,2551500000,2498000000,1328400000,1831300000,499100000,11400000,2094000000,0,274100000,502900000,58200000,1328400000,1328400000,-771300000,-247000000,2004300000,220700000,-11300000,1470000000,2020600000,392600000,-886800000,-885500000,137400000,524300000,-46900000,1423100000,46466600000,641800000,41388000000,-6550900000,1960800000,767900000,16600000,50928600000,5111700000,2317800000,2385500000,2289100000,3379600000,-2520100000,23283500000,4964400000,1190200000,2760800000,1992700000,32892000000,40800000,2611700000,16600000,50928600000,-62414500000,41502200000,32892000000,3155600000,38008400000,7438500000,46466600000,2289100000
2019-05-24,197.77,-1.45,-0.727839%,199.22,197.33,201.1462,"11,908,697","2,370,117,282.728300",2019-03-31,5024100000,457500000,2472600000,2551500000,2498000000,1328400000,1831300000,499100000,11400000,2094000000,0,274100000,502900000,58200000,1328400000,1328400000,-771300000,-247000000,2004300000,220700000,-11300000,1470000000,2020600000,392600000,-886800000,-885500000,137400000,524300000,-46900000,1423100000,46466600000,641800000,41388000000,-6550900000,1960800000,767900000,16600000,50928600000,5111700000,2317800000,2385500000,2289100000,3379600000,-2520100000,23283500000,4964400000,1190200000,2760800000,1992700000,32892000000,40800000,2611700000,16600000,50928600000,-62414500000,41502200000,32892000000,3155600000,38008400000,7438500000,46466600000,2289100000
2019-05-17,199.22,-0.77,-0.385019%,198.0,197.28,200.63,"12,256,621","2,440,849,308.108900",2019-03-31,5024100000,457500000,2472600000,2551500000,2498000000,1328400000,1831300000,499100000,11400000,2094000000,0,274100000,502900000,58200000,1328400000,1328400000,-771300000,-247000000,2004300000,220700000,-11300000,1470000000,2020600000,392600000,-886800000,-885500000,137400000,524300000,-46900000,1423100000,46466600000,641800000,41388000000,-6550900000,1960800000,767900000,16600000,50928600000,5111700000,2317800000,2385500000,2289100000,3379600000,-2520100000,23283500000,4964400000,1190200000,2760800000,1992700000,32892000000,40800000,2611700000,16600000,50928600000,-62414500000,41502200000,32892000000,3155600000,38008400000,7438500000,46466600000,2289100000
2019-05-10,199.99,2.47,+1.250506%,196.53,195.94,200.36,"12,077,301","2,395,155,828.348900",2019-03-31,5024100000,457500000,2472600000,2551500000,2498000000,1328400000,1831300000,499100000,11400000,2094000000,0,274100000,502900000,58200000,1328400000,1328400000,-771300000,-247000000,2004300000,220700000,-11300000,1470000000,2020600000,392600000,-886800000,-885500000,137400000,524300000,-46900000,1423100000,46466600000,641800000,41388000000,-6550900000,1960800000,767900000,16600000,50928600000,5111700000,2317800000,2385500000,2289100000,3379600000,-2520100000,23283500000,4964400000,1190200000,2760800000,1992700000,32892000000,40800000,2611700000,16600000,50928600000,-62414500000,41502200000,32892000000,3155600000,38008400000,7438500000,46466600000,2289100000
2019-05-03,197.52,0.1,+0.050653%,197.98,193.32,200.0,"19,011,136","3,734,398,019.684600",2019-03-31,5024100000,457500000,2472600000,2551500000,2498000000,1328400000,1831300000,499100000,11400000,2094000000,0,274100000,502900000,58200000,1328400000,1328400000,-771300000,-247000000,2004300000,220700000,-11300000,1470000000,2020600000,392600000,-886800000,-885500000,137400000,524300000,-46900000,1423100000,46466600000,641800000,41388000000,-6550900000,1960800000,767900000,16600000,50928600000,5111700000,2317800000,2385500000,2289100000,3379600000,-2520100000,23283500000,4964400000,1190200000,2760800000,1992700000,32892000000,40800000,2611700000,16600000,50928600000,-62414500000,41502200000,32892000000,3155600000,38008400000,7438500000,46466600000,2289100000
2019-04-26,197.42,2.51,+1.287774%,194.0,193.3799,198.6,"11,344,668","2,228,645,447.511400",2019-03-31,5024100000,457500000,2472600000,2551500000,2498000000,1328400000,1831300000,499100000,11400000,2094000000,0,274100000,502900000,58200000,1328400000,1328400000,-771300000,-247000000,2004300000,220700000,-11300000,1470000000,2020600000,392600000,-886800000,-885500000,137400000,524300000,-46900000,1423100000,46466600000,641800000,41388000000,-6550900000,1960800000,767900000,16600000,50928600000,5111700000,2317800000,2385500000,2289100000,3379600000,-2520100000,23283500000,4964400000,1190200000,2760800000,1992700000,32892000000,40800000,2611700000,16600000,50928600000,-62414500000,41502200000,32892000000,3155600000,38008400000,7438500000,46466600000,2289100000
2019-04-19,194.91,3.31,+1.727557%,191.77,190.85,195.0,"8,326,192","1,603,399,721.726200",2019-03-31,5024100000,457500000,2472600000,2551500000,2498000000,1328400000,1831300000,499100000,11400000,2094000000,0,274100000,502900000,58200000,1328400000,1328400000,-771300000,-247000000,2004300000,220700000,-11300000,1470000000,2020600000,392600000,-886800000,-885500000,137400000,524300000,-46900000,1423100000,46466600000,641800000,41388000000,-6550900000,1960800000,767900000,16600000,50928600000,5111700000,2317800000,2385500000,2289100000,3379600000,-2520100000,23283500000,4964400000,1190200000,2760800000,1992700000,32892000000,40800000,2611700000,16600000,50928600000,-62414500000,41502200000,32892000000,3155600000,38008400000,7438500000,46466600000,2289100000
2019-04-12,191.6,0.89,+0.466677%,190.71,188.05,192.28,"11,956,223","2,272,197,288.216000",2019-03-31,5024100000,457500000,2472600000,2551500000,2498000000,1328400000,1831300000,499100000,11400000,2094000000,0,274100000,502900000,58200000,1328400000,1328400000,-771300000,-247000000,2004300000,220700000,-11300000,1470000000,2020600000,392600000,-886800000,-885500000,137400000,524300000,-46900000,1423100000,46466600000,641800000,41388000000,-6550900000,1960800000,767900000,16600000,50928600000,5111700000,2317800000,2385500000,2289100000,3379600000,-2520100000,23283500000,4964400000,1190200000,2760800000,1992700000,32892000000,40800000,2611700000,16600000,50928600000,-62414500000,41502200000,32892000000,3155600000,38008400000,7438500000,46466600000,2289100000
2019-04-05,190.71,0.81,+0.426540%,190.5,186.7,191.24,"12,268,932","2,321,061,613.520700",2019-03-31,5024100000,457500000,2472600000,2551500000,2498000000,1328400000,1831300000,499100000,11400000,2094000000,0,274100000,502900000,58200000,1328400000,1328400000,-771300000,-247000000,2004300000,220700000,-11300000,1470000000,2020600000,392600000,-886800000,-885500000,137400000,524300000,-46900000,1423100000,46466600000,641800000,41388000000,-6550900000,1960800000,767900000,16600000,50928600000,5111700000,2317800000,2385500000,2289100000,3379600000,-2520100000,23283500000,4964400000,1190200000,2760800000,1992700000,32892000000,40800000,2611700000,16600000,50928600000,-62414500000,41502200000,32892000000,3155600000,38008400000,7438500000,46466600000,2289100000
2019-03-29,189.9,3.09,+1.654087%,186.25,184.01,190.52,"11,875,075","2,231,310,375.778300",2018-12-31,5163000000,697200000,2466300000,2696700000,2408500000,1415300000,1751400000,609800000,6000000,1999500000,8353300000,254100000,336100000,-328800000,1415300000,1415300000,-883900000,16100000,-650900000,-2311200000,-7900000,-1683500000,1511600000,379000000,-892500000,-759900000,17000000,900000000,-25000000,-1708500000,32811200000,4228900000,39069600000,-6258400000,1843300000,231700000,16600000,50487000000,5009000000,2331500000,2381000000,866000000,2973500000,-2609500000,22842700000,4053200000,1202800000,-6258400000,4822500000,31075300000,51100000,2973500000,16600000,50487000000,-61528500000,22842700000,31075300000,3177500000,36096100000,7376000000,32811200000,866000000
2019-03-22,186.81,1.48,+0.798576%,185.98,182.32,188.65,"17,444,196","3,224,404,978.752400",2018-12-31,5163000000,697200000,2466300000,2696700000,2408500000,1415300000,1751400000,609800000,6000000,1999500000,8353300000,254100000,336100000,-328800000,1415300000,1415300000,-883900000,16100000,-650900000,-2311200000,-7900000,-1683500000,1511600000,379000000,-892500000,-759900000,17000000,900000000,-25000000,-1708500000,32811200000,4228900000,39069600000,-6258400000,1843300000,231700000,16600000,50487000000,5009000000,2331500000,2381000000,866000000,2973500000,-2609500000,22842700000,4053200000,1202800000,-6258400000,4822500000,31075300000,51100000,2973500000,16600000,50487000000,-61528500000,22842700000,31075300000,3177500000,36096100000,7376000000,32811200000,866000000
2019-03-15,185.33,5.83,+3.247911%,180.0,179.8,185.46,"15,261,410","2,790,035,116.664900",2018-12-31,5163000000,697200000,2466300000,2696700000,2408500000,1415300000,1751400000,609800000,6000000,1999500000,8353300000,254100000,336100000,-328800000,1415300000,1415300000,-883900000,16100000,-650900000,-2311200000,-7900000,-1683500000,1511600000,379000000,-892500000,-759900000,17000000,900000000,-25000000,-1708500000,32811200000,4228900000,39069600000,-6258400000,1843300000,231700000,16600000,50487000000,5009000000,2331500000,2381000000,866000000,2973500000,-2609500000,22842700000,4053200000,1202800000,-6258400000,4822500000,31075300000,51100000,2973500000,16600000,50487000000,-61528500000,22842700000,31075300000,3177500000,36096100000,7376000000,32811200000,866000000
2019-03-08,179.5,-5.55,-2.999189%,184.55,178.27,184.73,"16,371,540","2,961,567,838.097700",2018-12-31,5163000000,697200000,2466300000,2696700000,2408500000,1415300000,1751400000,609800000,6000000,1999500000,8353300000,254100000,336100000,-328800000,1415300000,1415300000,-883900000,16100000,-650900000,-2311200000,-7900000,-1683500000,1511600000,379000000,-892500000,-759900000,17000000,900000000,-25000000,-1708500000,32811200000,4228900000,39069600000,-6258400000,1843300000,231700000,16600000,50487000000,5009000000,2331500000,2381000000,866000000,2973500000,-2609500000,22842700000,4053200000,1202800000,-6258400000,4822500000,31075300000,51100000,2973500000,16600000,50487000000,-61528500000,22842700000,31075300000,3177500000,36096100000,7376000000,32811200000,866000000
2019-03-01,185.05,1.88,+1.026369%,183.93,182.01,185.65,"13,560,769","2,489,943,891.955400",2018-12-31,5163000000,697200000,2466300000,2696700000,2408500000,1415300000,1751400000,609800000,6000000,1999500000,8353300000,254100000,336100000,-328800000,1415300000,1415300000,-883900000,16100000,-650900000,-2311200000,-7900000,-1683500000,1511600000,379000000,-892500000,-759900000,17000000,900000000,-25000000,-1708500000,32811200000,4228900000,39069600000,-6258400000,1843300000,231700000,16600000,50487000000,5009000000,2331500000,2381000000,866000000,2973500000,-2609500000,22842700000,4053200000,1202800000,-6258400000,4822500000,31075300000,51100000,2973500000,16600000,50487000000,-61528500000,22842700000,31075300000,3177500000,36096100000,7376000000,32811200000,866000000
2019-02-22,183.17,3.2,+1.778074%,181.11,179.16,183.41,"15,937,319","2,891,537,621.370300",2018-12-31,5163000000,697200000,2466300000,2696700000,2408500000,1415300000,1751400000,609800000,6000000,1999500000,8353300000,254100000,336100000,-328800000,1415300000,1415300000,-883900000,16100000,-650900000,-2311200000,-7900000,-1683500000,1511600000,379000000,-892500000,-759900000,17000000,900000000,-25000000,-1708500000,32811200000,4228900000,39069600000,-6258400000,1843300000,231700000,16600000,50487000000,5009000000,2331500000,2381000000,866000000,2973500000,-2609500000,22842700000,4053200000,1202800000,-6258400000,4822500000,31075300000,51100000,2973500000,16600000,50487000000,-61528500000,22842700000,31075300000,3177500000,36096100000,7376000000,32811200000,866000000
2019-02-15,179.97,5.22,+2.987124%,175.24,173.41,179.98,"22,269,828","3,909,189,625.895000",2018-12-31,5163000000,697200000,2466300000,2696700000,2408500000,1415300000,1751400000,609800000,6000000,1999500000,8353300000,254100000,336100000,-328800000,1415300000,1415300000,-883900000,16100000,-650900000,-2311200000,-7900000,-1683500000,1511600000,379000000,-892500000,-759900000,17000000,900000000,-25000000,-1708500000,32811200000,4228900000,39069600000,-6258400000,1843300000,231700000,16600000,50487000000,5009000000,2331500000,2381000000,866000000,2973500000,-2609500000,22842700000,4053200000,1202800000,-6258400000,4822500000,31075300000,51100000,2973500000,16600000,50487000000,-61528500000,22842700000,31075300000,3177500000,36096100000,7376000000,32811200000,866000000
2019-02-08,174.75,-1.97,-1.114758%,177.29,174.31,179.42,"21,222,822","3,743,766,145.951600",2018-12-31,5163000000,697200000,2466300000,2696700000,2408500000,1415300000,1751400000,609800000,6000000,1999500000,8353300000,254100000,336100000,-328800000,1415300000,1415300000,-883900000,16100000,-650900000,-2311200000,-7900000,-1683500000,1511600000,379000000,-892500000,-759900000,17000000,900000000,-25000000,-1708500000,32811200000,4228900000,39069600000,-6258400000,1843300000,231700000,16600000,50487000000,5009000000,2331500000,2381000000,866000000,2973500000,-2609500000,22842700000,4053200000,1202800000,-6258400000,4822500000,31075300000,51100000,2973500000,16600000,50487000000,-61528500000,22842700000,31075300000,3177500000,36096100000,7376000000,32811200000,866000000
