Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,interestExpense,nonRecurring,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-07-10,76.73,-2.05,-2.602183%,79.24,76.04,80.022,"34,684,487","2,710,227,611.969900",2020-06-30,10872000000,4584000000,3159000000,7713000000,3519000000,3002000000,2123000000,3519000000,8000000,2378000000,390000000,3129000000,209000000,83000000,509000000,502000000,3010000000,3002000000,48000000,-882000000,-262000000,2828000000,1137000000,-128000000,3622000000,3367000000,-527000000,1048000000,-1577000000,14000000,-164000000,668000000,3622000000,90615000000,16566000000,2686000000,62871000000,27642000000,2091000000,11182000000,1788000000,49724000000,14537000000,20067000000,7040000000,11103000000,22178000000,4718000000,-6393000000,15789000000,29343000000,1251000000,-8991000000,0,12184000000,26156000000,6056000000,6278000000,1788000000,49724000000,-56850000000,7599000000,26156000000,12446000000,40693000000,39373000000,90615000000,11103000000
2020-07-03,78.78,3.59,+4.774571%,75.9,75.52,79.31,"32,393,526","2,511,391,786.885700",2020-06-30,10872000000,4584000000,3159000000,7713000000,3519000000,3002000000,2123000000,3519000000,8000000,2378000000,390000000,3129000000,209000000,83000000,509000000,502000000,3010000000,3002000000,48000000,-882000000,-262000000,2828000000,1137000000,-128000000,3622000000,3367000000,-527000000,1048000000,-1577000000,14000000,-164000000,668000000,3622000000,90615000000,16566000000,2686000000,62871000000,27642000000,2091000000,11182000000,1788000000,49724000000,14537000000,20067000000,7040000000,11103000000,22178000000,4718000000,-6393000000,15789000000,29343000000,1251000000,-8991000000,0,12184000000,26156000000,6056000000,6278000000,1788000000,49724000000,-56850000000,7599000000,26156000000,12446000000,40693000000,39373000000,90615000000,11103000000
2020-06-26,75.19,-2.71,-3.478819%,77.37,75.0,78.62,"44,752,384","3,420,905,688.449700",2020-03-31,12057000000,4836000000,3312000000,8745000000,3838000000,3219000000,2209000000,3838000000,95000000,2555000000,-71000000,3909000000,212000000,72000000,619000000,44000000,3219000000,3219000000,1767000000,-1628000000,-2409000000,1632000000,-1490000000,-316000000,-2411000000,707000000,-3666000000,821000000,-1551000000,-1255000000,333000000,986000000,-2411000000,84913000000,16096000000,3084000000,58613000000,26205000000,1943000000,10932000000,1788000000,48272000000,13493000000,19767000000,6532000000,7425000000,23483000000,6361000000,-6391000000,15269000000,26174000000,555000000,-9658000000,7000000,12896000000,21637000000,5846000000,6190000000,1788000000,48272000000,-57161000000,7052000000,21637000000,11550000000,35130000000,39697000000,84913000000,7432000000
2020-06-19,77.9,1.6,+2.096986%,74.91,73.572,77.98,"74,937,029","5,693,473,671.759600",2020-03-31,12057000000,4836000000,3312000000,8745000000,3838000000,3219000000,2209000000,3838000000,95000000,2555000000,-71000000,3909000000,212000000,72000000,619000000,44000000,3219000000,3219000000,1767000000,-1628000000,-2409000000,1632000000,-1490000000,-316000000,-2411000000,707000000,-3666000000,821000000,-1551000000,-1255000000,333000000,986000000,-2411000000,84913000000,16096000000,3084000000,58613000000,26205000000,1943000000,10932000000,1788000000,48272000000,13493000000,19767000000,6532000000,7425000000,23483000000,6361000000,-6391000000,15269000000,26174000000,555000000,-9658000000,7000000,12896000000,21637000000,5846000000,6190000000,1788000000,48272000000,-57161000000,7052000000,21637000000,11550000000,35130000000,39697000000,84913000000,7432000000
2020-06-12,76.3,-5.96,-7.245320%,81.15,75.47,83.51,"56,477,441","4,501,486,493.919300",2020-03-31,12057000000,4836000000,3312000000,8745000000,3838000000,3219000000,2209000000,3838000000,95000000,2555000000,-71000000,3909000000,212000000,72000000,619000000,44000000,3219000000,3219000000,1767000000,-1628000000,-2409000000,1632000000,-1490000000,-316000000,-2411000000,707000000,-3666000000,821000000,-1551000000,-1255000000,333000000,986000000,-2411000000,84913000000,16096000000,3084000000,58613000000,26205000000,1943000000,10932000000,1788000000,48272000000,13493000000,19767000000,6532000000,7425000000,23483000000,6361000000,-6391000000,15269000000,26174000000,555000000,-9658000000,7000000,12896000000,21637000000,5846000000,6190000000,1788000000,48272000000,-57161000000,7052000000,21637000000,11550000000,35130000000,39697000000,84913000000,7432000000
2020-06-05,82.26,1.54,+1.907830%,80.18,78.829,83.13,"48,677,736","3,954,052,010.518400",2020-03-31,12057000000,4836000000,3312000000,8745000000,3838000000,3219000000,2209000000,3838000000,95000000,2555000000,-71000000,3909000000,212000000,72000000,619000000,44000000,3219000000,3219000000,1767000000,-1628000000,-2409000000,1632000000,-1490000000,-316000000,-2411000000,707000000,-3666000000,821000000,-1551000000,-1255000000,333000000,986000000,-2411000000,84913000000,16096000000,3084000000,58613000000,26205000000,1943000000,10932000000,1788000000,48272000000,13493000000,19767000000,6532000000,7425000000,23483000000,6361000000,-6391000000,15269000000,26174000000,555000000,-9658000000,7000000,12896000000,21637000000,5846000000,6190000000,1788000000,48272000000,-57161000000,7052000000,21637000000,11550000000,35130000000,39697000000,84913000000,7432000000
2020-05-29,80.72,4.35,+5.695954%,78.26,76.0,80.94,"55,997,161","4,390,428,697.322800",2020-03-31,12057000000,4836000000,3312000000,8745000000,3838000000,3219000000,2209000000,3838000000,95000000,2555000000,-71000000,3909000000,212000000,72000000,619000000,44000000,3219000000,3219000000,1767000000,-1628000000,-2409000000,1632000000,-1490000000,-316000000,-2411000000,707000000,-3666000000,821000000,-1551000000,-1255000000,333000000,986000000,-2411000000,84913000000,16096000000,3084000000,58613000000,26205000000,1943000000,10932000000,1788000000,48272000000,13493000000,19767000000,6532000000,7425000000,23483000000,6361000000,-6391000000,15269000000,26174000000,555000000,-9658000000,7000000,12896000000,21637000000,5846000000,6190000000,1788000000,48272000000,-57161000000,7052000000,21637000000,11550000000,35130000000,39697000000,84913000000,7432000000
2020-05-22,76.37,-3.41,-4.274254%,81.0,76.07,81.0,"47,261,486","3,678,489,889.812900",2020-03-31,12057000000,4836000000,3312000000,8745000000,3838000000,3219000000,2209000000,3838000000,95000000,2555000000,-71000000,3909000000,212000000,72000000,619000000,44000000,3219000000,3219000000,1767000000,-1628000000,-2409000000,1632000000,-1490000000,-316000000,-2411000000,707000000,-3666000000,821000000,-1551000000,-1255000000,333000000,986000000,-2411000000,84913000000,16096000000,3084000000,58613000000,26205000000,1943000000,10932000000,1788000000,48272000000,13493000000,19767000000,6532000000,7425000000,23483000000,6361000000,-6391000000,15269000000,26174000000,555000000,-9658000000,7000000,12896000000,21637000000,5846000000,6190000000,1788000000,48272000000,-57161000000,7052000000,21637000000,11550000000,35130000000,39697000000,84913000000,7432000000
2020-05-15,79.78,3.38,+4.424084%,76.03,75.92,80.55,"49,501,097","3,885,881,442.425700",2020-03-31,12057000000,4836000000,3312000000,8745000000,3838000000,3219000000,2209000000,3838000000,95000000,2555000000,-71000000,3909000000,212000000,72000000,619000000,44000000,3219000000,3219000000,1767000000,-1628000000,-2409000000,1632000000,-1490000000,-316000000,-2411000000,707000000,-3666000000,821000000,-1551000000,-1255000000,333000000,986000000,-2411000000,84913000000,16096000000,3084000000,58613000000,26205000000,1943000000,10932000000,1788000000,48272000000,13493000000,19767000000,6532000000,7425000000,23483000000,6361000000,-6391000000,15269000000,26174000000,555000000,-9658000000,7000000,12896000000,21637000000,5846000000,6190000000,1788000000,48272000000,-57161000000,7052000000,21637000000,11550000000,35130000000,39697000000,84913000000,7432000000
2020-05-08,76.4,-1.27,-1.635123%,78.02,75.43,78.8025,"47,768,970","3,673,812,132.590900",2020-03-31,12057000000,4836000000,3312000000,8745000000,3838000000,3219000000,2209000000,3838000000,95000000,2555000000,-71000000,3909000000,212000000,72000000,619000000,44000000,3219000000,3219000000,1767000000,-1628000000,-2409000000,1632000000,-1490000000,-316000000,-2411000000,707000000,-3666000000,821000000,-1551000000,-1255000000,333000000,986000000,-2411000000,84913000000,16096000000,3084000000,58613000000,26205000000,1943000000,10932000000,1788000000,48272000000,13493000000,19767000000,6532000000,7425000000,23483000000,6361000000,-6391000000,15269000000,26174000000,555000000,-9658000000,7000000,12896000000,21637000000,5846000000,6190000000,1788000000,48272000000,-57161000000,7052000000,21637000000,11550000000,35130000000,39697000000,84913000000,7432000000
