Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-09-18,169.55,3.38,+2.034062%,167.66,166.1701,173.2,"14,094,456","2,392,824,010.143900",2020-06-30,7176000000,1631000000,3805000000,3371000000,1629000000,1290000000,424000000,1629000000,-3000000,1594000000,1740000000,137000000,342000000,404000000,1287000000,1290000000,453000000,-76000000,577000000,503000000,-1740000000,-2509000000,-9000000,-27000000,1905000000,-255000000,492000000,-846000000,86000000,9000000,384000000,64000000,379000000,384000000,-7000000,-34000000,45079000000,6033000000,5232000000,34164000000,10857000000,4436000000,9000000,42759000000,6999000000,13360000000,1635000000,4219000000,7282000000,-37985000000,9089000000,14106000000,-8536000000,247000000,4459000000,19276000000,4168000000,2846000000,9000000,42759000000,2491000000,30973000000,19276000000,7606000000,26882000000,6074000000,45079000000,247000000,-16854000000,576019442
2020-09-11,166.17,0.4,+0.241298%,165.58,161.8801,167.34,"9,338,635","1,539,418,903.354200",2020-06-30,7176000000,1631000000,3805000000,3371000000,1629000000,1290000000,424000000,1629000000,-3000000,1594000000,1740000000,137000000,342000000,404000000,1287000000,1290000000,453000000,-76000000,577000000,503000000,-1740000000,-2509000000,-9000000,-27000000,1905000000,-255000000,492000000,-846000000,86000000,9000000,384000000,64000000,379000000,384000000,-7000000,-34000000,45079000000,6033000000,5232000000,34164000000,10857000000,4436000000,9000000,42759000000,6999000000,13360000000,1635000000,4219000000,7282000000,-37985000000,9089000000,14106000000,-8536000000,247000000,4459000000,19276000000,4168000000,2846000000,9000000,42759000000,2491000000,30973000000,19276000000,7606000000,26882000000,6074000000,45079000000,247000000,-16854000000,576019442
2020-09-04,165.77,0.11,+0.066401%,165.16,161.64,170.42,"16,474,917","2,736,836,095.502700",2020-06-30,7176000000,1631000000,3805000000,3371000000,1629000000,1290000000,424000000,1629000000,-3000000,1594000000,1740000000,137000000,342000000,404000000,1287000000,1290000000,453000000,-76000000,577000000,503000000,-1740000000,-2509000000,-9000000,-27000000,1905000000,-255000000,492000000,-846000000,86000000,9000000,384000000,64000000,379000000,384000000,-7000000,-34000000,45079000000,6033000000,5232000000,34164000000,10857000000,4436000000,9000000,42759000000,6999000000,13360000000,1635000000,4219000000,7282000000,-37985000000,9089000000,14106000000,-8536000000,247000000,4459000000,19276000000,4168000000,2846000000,9000000,42759000000,2491000000,30973000000,19276000000,7606000000,26882000000,6074000000,45079000000,247000000,-16854000000,576019442
2020-08-28,165.66,3.95,+2.442644%,161.55,161.15,166.17,"12,419,122","2,035,909,709.024000",2020-06-30,7176000000,1631000000,3805000000,3371000000,1629000000,1290000000,424000000,1629000000,-3000000,1594000000,1740000000,137000000,342000000,404000000,1287000000,1290000000,453000000,-76000000,577000000,503000000,-1740000000,-2509000000,-9000000,-27000000,1905000000,-255000000,492000000,-846000000,86000000,9000000,384000000,64000000,379000000,384000000,-7000000,-34000000,45079000000,6033000000,5232000000,34164000000,10857000000,4436000000,9000000,42759000000,6999000000,13360000000,1635000000,4219000000,7282000000,-37985000000,9089000000,14106000000,-8536000000,247000000,4459000000,19276000000,4168000000,2846000000,9000000,42759000000,2491000000,30973000000,19276000000,7606000000,26882000000,6074000000,45079000000,247000000,-16854000000,576019442
2020-08-21,161.71,-4.39,-2.642986%,165.17,160.74,166.37,"9,596,533","1,570,812,800.728500",2020-06-30,7176000000,1631000000,3805000000,3371000000,1629000000,1290000000,424000000,1629000000,-3000000,1594000000,1740000000,137000000,342000000,404000000,1287000000,1290000000,453000000,-76000000,577000000,503000000,-1740000000,-2509000000,-9000000,-27000000,1905000000,-255000000,492000000,-846000000,86000000,9000000,384000000,64000000,379000000,384000000,-7000000,-34000000,45079000000,6033000000,5232000000,34164000000,10857000000,4436000000,9000000,42759000000,6999000000,13360000000,1635000000,4219000000,7282000000,-37985000000,9089000000,14106000000,-8536000000,247000000,4459000000,19276000000,4168000000,2846000000,9000000,42759000000,2491000000,30973000000,19276000000,7606000000,26882000000,6074000000,45079000000,247000000,-16854000000,576019442
2020-08-14,166.1,7.77,+4.907472%,158.55,158.55,167.49,"12,608,763","2,073,445,442.565300",2020-06-30,7176000000,1631000000,3805000000,3371000000,1629000000,1290000000,424000000,1629000000,-3000000,1594000000,1740000000,137000000,342000000,404000000,1287000000,1290000000,453000000,-76000000,577000000,503000000,-1740000000,-2509000000,-9000000,-27000000,1905000000,-255000000,492000000,-846000000,86000000,9000000,384000000,64000000,379000000,384000000,-7000000,-34000000,45079000000,6033000000,5232000000,34164000000,10857000000,4436000000,9000000,42759000000,6999000000,13360000000,1635000000,4219000000,7282000000,-37985000000,9089000000,14106000000,-8536000000,247000000,4459000000,19276000000,4168000000,2846000000,9000000,42759000000,2491000000,30973000000,19276000000,7606000000,26882000000,6074000000,45079000000,247000000,-16854000000,576019442
2020-08-07,158.33,7.86,+5.223633%,151.09,149.31,158.42,"11,907,355","1,832,959,521.243100",2020-06-30,7176000000,1631000000,3805000000,3371000000,1629000000,1290000000,424000000,1629000000,-3000000,1594000000,1740000000,137000000,342000000,404000000,1287000000,1290000000,453000000,-76000000,577000000,503000000,-1740000000,-2509000000,-9000000,-27000000,1905000000,-255000000,492000000,-846000000,86000000,9000000,384000000,64000000,379000000,384000000,-7000000,-34000000,45079000000,6033000000,5232000000,34164000000,10857000000,4436000000,9000000,42759000000,6999000000,13360000000,1635000000,4219000000,7282000000,-37985000000,9089000000,14106000000,-8536000000,247000000,4459000000,19276000000,4168000000,2846000000,9000000,42759000000,2491000000,30973000000,19276000000,7606000000,26882000000,6074000000,45079000000,247000000,-16854000000,576019442
2020-07-31,150.47,-9.37,-5.862112%,159.53,148.8,163.38,"20,639,777","3,206,026,821.521500",2020-06-30,7176000000,1631000000,3805000000,3371000000,1629000000,1290000000,424000000,1629000000,-3000000,1594000000,1740000000,137000000,342000000,404000000,1287000000,1290000000,453000000,-76000000,577000000,503000000,-1740000000,-2509000000,-9000000,-27000000,1905000000,-255000000,492000000,-846000000,86000000,9000000,384000000,64000000,379000000,384000000,-7000000,-34000000,45079000000,6033000000,5232000000,34164000000,10857000000,4436000000,9000000,42759000000,6999000000,13360000000,1635000000,4219000000,7282000000,-37985000000,9089000000,14106000000,-8536000000,247000000,4459000000,19276000000,4168000000,2846000000,9000000,42759000000,2491000000,30973000000,19276000000,7606000000,26882000000,6074000000,45079000000,247000000,-16854000000,576019442
2020-07-24,159.84,0.01,+0.006257%,158.85,156.37,161.6,"11,666,904","1,852,172,025.045800",2020-06-30,7176000000,1631000000,3805000000,3371000000,1629000000,1290000000,424000000,1629000000,-3000000,1594000000,1740000000,137000000,342000000,404000000,1287000000,1290000000,453000000,-76000000,577000000,503000000,-1740000000,-2509000000,-9000000,-27000000,1905000000,-255000000,492000000,-846000000,86000000,9000000,384000000,64000000,379000000,384000000,-7000000,-34000000,45079000000,6033000000,5232000000,34164000000,10857000000,4436000000,9000000,42759000000,6999000000,13360000000,1635000000,4219000000,7282000000,-37985000000,9089000000,14106000000,-8536000000,247000000,4459000000,19276000000,4168000000,2846000000,9000000,42759000000,2491000000,30973000000,19276000000,7606000000,26882000000,6074000000,45079000000,247000000,-16854000000,576019442
2020-07-17,159.83,6.98,+4.566569%,154.35,153.9205,161.56,"13,242,224","2,099,879,395.850000",2020-06-30,7176000000,1631000000,3805000000,3371000000,1629000000,1290000000,424000000,1629000000,-3000000,1594000000,1740000000,137000000,342000000,404000000,1287000000,1290000000,453000000,-76000000,577000000,503000000,-1740000000,-2509000000,-9000000,-27000000,1905000000,-255000000,492000000,-846000000,86000000,9000000,384000000,64000000,379000000,384000000,-7000000,-34000000,45079000000,6033000000,5232000000,34164000000,10857000000,4436000000,9000000,42759000000,6999000000,13360000000,1635000000,4219000000,7282000000,-37985000000,9089000000,14106000000,-8536000000,247000000,4459000000,19276000000,4168000000,2846000000,9000000,42759000000,2491000000,30973000000,19276000000,7606000000,26882000000,6074000000,45079000000,247000000,-16854000000,576019442
